"","","","Volunteer Education Code:","Volunteer Highest grade completed:","Volunteer Highest Occupational Code:","Volunteer Highest job title/description:","Spouse/Significant Other Education Code:","Spouse/Significant Other Highest grade completed:","Spouse/Significant Other Highest Occupational Code:","Spouse/Significant Other Highest job title/description:","Maternal/Guardian #1 Education Code: (Reference age 16)","Maternal/Guardian #1 Highest grade completed:","Highest Maternal/Guardian #1 Occupational Code:","Highest Maternal/Guardian #1 job title/description:","Paternal/Guardian #2 Education Code:","Paternal/Guardian #2 Highest grade completed:","Highest Paternal/Guardian #2 Occupational Code:","Highest Paternal/Guardian #2  job title/description:","Subject SES Score","Subject Parental SES Score"
"A00038616","Adult- Age 22-59","V1","5","14","5","YOUTH COUNSELOR, RETAIL SUPERVISOR","0","NA","0","NA","5","13","4","PRACTICAL NURSE","5","13","6","PHARMACEUTICAL TECHNICIAN","40","40"
"A00065873","ONE_DAY- Age 22-59","VA","7","18","6","DIRECTOR OF STUDENT INVOLVEMENT (ADMINISTRATOR)","5","14","4","CARPENTER. SELF-EMPLOYED.","5","14","4","RECEPTIONIST","4","12","6","OWNED MOVING COMPANY","43","38.5"
"A00051517","Older Adult- Age 65-85","V1","5","13","8","HUMAN RESOURCES","4","12","6","TECHNICIAN XEROX","0","N/A","0","N/A","4","12","6","OFFICE MANAGER","47","42"
"A00031604","Adult- Age 22-59","V1","5","14","5","TECHNICAL SUPPORT, SALES, CUSTOMER SERVICES.","0","NA","0","NA","5","15","7","SUBSTANCE ABUSE COUNSELING, SMALL BUSINESS OWNER","6","16","4","DETECTIVE FOR NYPD","40","44"
"A00061728","ONE_DAY-Age 65-85","VA","6","16","7","ART DIRECTOR","6","16","6","SALES MANAGER","5","13","7","DISHWARE DESIGNER","3","10","6","AT&T MANAGER","50.5","44.5"
"A00043649","Adult- Age 22-59","V1","5","15","1","STUDENT","0","NA","0","NA","6","16","8","ER NURSE, RN","6","16","8","ER NURSE, RN","20","58"
"A00059756","ENROLLED","V1","6","16","6","LEGAL SECRETARY","0","NA","0","NA","7","20","8","ADMINISTRATOR AT NYU","7","18","7","CHIEF REALTY OFFICER","48","58.5"
"A00058503","ENROLLED","VA_ALG","6","16","7","PRESCHOOL TEACHER","6","16","5","ENGINEER IN CHARGE AT CBS SPORTS","5","14","8","RN","7","18","8","DIRECTOR OF RADIOLOGY AT NYACK HOSPITAL","48","58"
"A00060259","ENROLLED","V1","6","16","7","OFFICE MANAGER - MD PRACTICE","7","18","9","INDUSTRIAL ENGINEER","4","12","7","WAREHOUSE MANAGER","5","14","4","SHEET METAL WORKER","59.5","41"
"A00056306","Adult- Age 22-59","V1","4","12","7","DIRECTOR LEARNING CENTER","6","16","8","ACCOUNTANT","6","16","1","HOMEMAKER","6","16","7","BANKING/FINANCE","52.5","38"
"A00056164","Older Adult- Age 60-64","V1","5","15","7","SUPERVISOR FOR MEDIA COMPANY","7","18","6","EXECUTIVE SECRETARY FOR SCHOOL DISTRICT","4","12","5","CASHIER","4","12","3","TRUCK DRIVER","50.5","32"
"A00040312","Older Adult- Age 65-85","V1","7","18","8","EDUCATION SUPERVISOR/PRINCIPAL RCPC","7","18","9","ARCHITECT","4","12","5","MEDICAL RECORDS TRANSCRIPTION","7","18","8","GUIDANCE COUNSELOR - HS","63.5","49"
"A00065617","ONE_DAY","VA","6","16","1","NO REGULAR OCCUPATION","0","N/A","0","N/A","5","14","8","COUNTY ADMINISTRATOR","6","16","7","BUSINESS OWNER","23","54"
"A00028754","Adult- Age 22-59","V1","5","13","6","ADMINISTRATOR","6","16","7","MAJOR, COMMUNICATIONS OFFICER IN THE ARMY","3","10","4","CATERER","0","NA","0","NA","49","29"
"A00040493","Adult- Age 22-59","V1","5","14","5","FIELD ENGINEER","5","14","5","PHONE COMPANY TECHNICIAN","5","14","5","CLERICAL","0","NA","0","NA","40","40"
"A00053647","Adult- Age 22-59","V1","5","15","5","MILK SALESMAN","4","12","6","REVENUE ASSURANCE ANALYST","4","12","1","HOUSEWIFE","4","12","5","MILK SALESMAN","41","37"
"A00060302","ENROLLED","V1","6","16","2","HOSTESS","0","NA","0","NA","7","18","7","ESL TEACHER.","6","16","4","CONSTRUCTION.","28","47"
"A00073230","ENROLLED","VA_ALG","6","16","7","BUSINESS MANAGER","7","18","7","ENGINEERING MANAGER","4","12","3","HOME HEALTH AIDE","2","8","7","MAINTENANCE DIRECTOR OF NURSING HOME","54.5","34"
"A00038623","Adult- Age 22-59","V1","6","16","7","MEDIA BUYER","5","13","8","VP OF SALES","1","8","3","CATERING/SEAMSTRESS","1","8","3","WAITER/MAITRE D","54","18"
"A00063424","ONE_DAY- Age 22-59","VA","7","21","9","PROFESSOR","7","18","7","MENTAL HEALTH COUNSELOR","6","16","6","RESEARCH- PUBLIC POLICY","7","18","9","PROFESSOR","61","57"
"A00054153","Older Adult- Age 60-64","V1","6","16","6","SUBSTANCE ABUSE COUNSELOR","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","48","NA"
"A00035588","Adult- Age 22-59","V1","6","16","5","LIBRARY SUPERVISOR, SUBSTITUTE TEACHER","0","NA","0","NA","5","14","6","DENTAL HYGIENIST","5","14","4","ELECTRICIAN","43","40"
"A00035796","Adult- Age 22-59","V1","5","13","5","PHYSICAL THERAPY AIDE","7","18","7","MANAGER OF TELEMARKETING DEPARTMENT AT MORTGAGE COMPANY","4","12","5","CLERICAL WORK","5","14","6","FDNY","48","41"
"A00065197","ONE_DAY- Age 18-21","VA","3","11","3","CAMP COUNSELOR","0","NA","0","NA","4","12","5","BANK TELLER","2","7","1","UNEMPLOYED","24","24"
"A00038605","Adult-Age 18-21","V1","5","15","5","STUDENT MANAGER AT SCHOOL WRITING CENTER","0","N/A","0","N/A","5","13","4","NURSE","0","N/A","0","N/A","40","35"
"A00051477","Adult-Age 18-21","V1","5","15","1","STUDENT","0","NA","0","NA","6","16","7","ABC JOURNALIST/ REPORTER","4","12","3","LIMO DRIVER","20","40"
"A00062942","ONE_DAY","VA","7","18","7","PHYSICAL THERAPIST","7","18","7","MIDDLE SCHOOL TEACHER","5","13","3","HAIRDRESSER","3","10","4","MECHANIC","56","29.5"
"A00033022","Older Adult- Age 60-64","V1","4","12","4","POST OFFICE - YARD MAN","0","NA","0","NA","4","12","5","BAKERY CASHIER","3","10","4","POSTAL WORKER","32","33"
"A00039393","Adult- Age 22-59","V1","7","18","7","TEACHER-MS","4","8","3","TRUCK DRIVER","5","14","2","FOOD SERVICE","5","15","9","ANALYTICAL CHEMIST - PAPER CO.","41.5","42.5"
"A00031893","Adult- Age 22-59","V1","5","14","7","INTERIOR DESIGNER","0","NA","0","NA","2","8","1","HOMEMAKER","0","NA","0","NA","50","11"
"A00029979","Adult-Age 18-21","V1","5","14","1","STUDENT","0","NA","0","NA","7","18","8","NURSE PRACTITIONER","5","13","4","PLUMBER","20","48"
"A00051529","Adult- Age 22-59","V1","7","18","7","COMMERCIAL REAL ESTATE","7","18","8","HIGH SCHOOL ENGLISH TEACHER","7","18","7","SOCIAL WORKER","5","14","6","MANAGER AT LUMBER SUPPLY COMPANY","58.5","50.5"
"A00061634","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","",""
"A00021039","Older Adult- Age 65-85","V1","6","16","8","REGIONAL SYSTEMS ENGINEER","6","16","7","SALES MANAGER","4","12","6","MODEL","6","16","6","POLICE OFFICER","55.5","45"
"A00039700","Older Adult- Age 65-85","V1","7","18","7","TEACHER; EMPLOYMENT SPECIALIST","7","21","9","RCC ADJUNCT PROFESSOR","7","18","7","KINDERGARTEN TEACHER","7","18","8","HIGH SCHOOL TEACHER","61","58.5"
"A00038519","Older Adult- Age 65-85","V1","7","18","8","RN","4","12","7","CAPTAIN OF NYC FIRE DEPARTMENT","2","8","6","RESTAURANT MANAGER","4","12","6","MANAGER OF PARKING GARAGES","54","37.5"
"A00050679","Older Adult- Age 65-85","V1","7","18","8","HIGH SCHOOL SPECIAL ED TEACHER","0","NA","0","NA","0","UNKNOWN","3","SEAMSTRESS","0","NA","0","NA","75","NA"
"A00028185","Adult- Age 22-59","V1","6","16","3","SUPERVISOR FOR INVENTORY","0","NA","0","NA","4","12","2","NURSING HOME","5","13","4","SELF-EMPLOYED CARPENTER","33","57"
"A00060306","Older Adult- Age 65-85","V1","6","16","8","DIRECTOR OF BUSINESS (JUST BELOW VP)","4","12","5","ADMINISTRATIVE ASSISTANT","4","12","5","HEAD TELLER AT BANK","3","10","6","NYPD","47.5","36.5"
"A00057203","ENROLLED","V1","5","15","1","STUDENT","0","NA","0","NA","6","16","7","SPECIAL ED TEACHER (K-3)","0","NA","0","NA","20","53"
"A00037510","Older Adult- Age 60-64","V1","7","18","9","ENVIRONMENTAL ENGINEER","6","16","8","ATHLETIC DIRECTOR - COLLEGE","6","16","7","SOCIAL WORKER","5","13","6","SALESMAN - LUMBER BUSINESS","62","49"
"A00060923","Older Adult- Age 60-64","V1","6","16","7","LAB MANAGER MICROBIOLOGY (HOSPITAL LABS)","0","NA","0","NA","4","12","1","HOMEMAKER","5","13","7","OWNED A BUSINESS","53","50"
"A00066822","ONE_DAY","VA","5","13","6","MEDICAL ASSISTANT","0","NA","0","NA","3","10","4","RECEPTIONIST AT DOCTOR'S OFFICE","6","16","0","UNKNOWN","45","29"
"A00055121","ENROLLED","V1","6","16","6","SUPERVISOR FOR CLOTHING STORE","0","NA","0","NA","3","10","3","NURSE'S AID","4","12","3","DRIVER FOR MENTALLY ILL PATIENTS","48","25.5"
"A00050815","Adult- Age 22-59","V1","6","16","5","AUDITING PHONE BILLS","0","NA","0","NA","3","10","2","CAFETERIA WORKER","3","10","4","ELECTRICIAN","43","24"
"A00037198","Adult- Age 22-59","V1","5","13","6","PRESCHOOL TEACHER","0","NA","0","NA","6","16","8","REGISTERED NURSE","6","16","3","THERAPY AIDE","45","45.5"
"A00061962","ONE_DAY- Age 22-59","VA","7","18","6","OWNS MARKETING BUSINESS","4","12","5","SMALL BUSINESS OWNER","4","12","5","BOOKKEEPER","5","13","7","ARTIST/ILLUSTRATOR","44","43.5"
"A00038424","Older Adult- Age 65-85","V1","4","12","5","ADMIN. ASST.","0","NA","0","NA","4","12","6","CLERICAL/SECRETARY","3","10","6","SMALL BUSINESS OWNER","37","40.5"
"A00035606","Adult- Age 22-59","V1","5","14","6","ADMIN ASSISTANT FOR ACCOUNTING","0","NA","0","NA","7","18","7","UNION OFFICER - BUILDING MANAGEMENT","1","8","4","OWNED TREE-CUTTING BUSINESS","45","39.5"
"A00062934","ONE_DAY- Age 22-59","VA","5","14","2","CHEF","6","16","1","HOMEMAKER","4","12","3","HAIRSTYLIST","4","12","6","GENERAL MANAGER
RETAIL COSTCO","25","34.5"
"A00040599","Older Adult- Age 60-64","V1","6","16","3","NURSING HOME- PATIENT CARE","5","13","1","CUSTODIAN","0","UNKNOWN","5","CASHIER AT LEGAL FIRM","0","UNKNOWN","4","SURVEYOR OWN BUSINESS- SMALL","26.5",""
"A00033609","Adult- Age 22-59","V1","6","16","8","SYSTEMS CONFIGURATION SPECIALIST","4","12","7","COMPUTER PROGRAMMER","4","12","6","ADMINISTRATIVE ASSISTANT","6","16","6","NYC FIREMAN","52.5","45"
"A00039041","Older Adult- Age 60-64","V1","6","16","6","MANAGER","6","16","7","GRAPHIC ARTIST","7","18","8","RN","6","16","7","ARCHITECT","50.5","57"
"A00063103","ONE_DAY- Age 22-59","VA","5","15","1","STUDENT","0","NA","0","NA","5","14","5","LPN- NURSE TRAINEE","5","13","2","CONSTRUCTION","20","32.5"
"A00028271","Older Adult- Age 60-64","V1","5","13","4","REPAIR FOR XEROX","0","NA","0","NA","4","12","4","SMALL BUSINESS OWNER","2","9","4","SMALL BUSINESS OWNER","35","29"
"A00062928","ONE_DAY-Age 60-64","VA","6","16","7","SUPERVISOR- SALES","7","18","7","SUPERVISOR- SALES","4","12","2","WAITRESS","5","14","6","NYPD","54.5","33.5"
"A00051726","Adult-Age 18-21","V1","4","12","1","STUDENT","0","N/A","0","N/A","5","14","4","PURCHASING CLERK AT RCC","3","11","3","CONSTRUCTION WORKER","17","29.5"
"A00037647","Adult- Age 22-59","V1","6","16","7","MODEL","0","NA","0","NA","5","14","8","REGISTERED NURSE","4","12","7","RESTAURANT OWNER","53","53.5"
"A00055751","Adult- Age 22-59","V1","7","18","7","TEACHER (ELEMENTARY SCHOOL)","6","16","6","FIREFIGHTER","4","12","6","SECRETARY","7","18","7","PHYS ED TEACHER-JUNIOR HIGH","52","49"
"A00066864","ENROLLED","VA_ALG","6","16","7","IBM PROGRAMMER","0","NA","0","NA","4","12","1","HOMEMAKER","4","12","6","OWNS CAR DEALERSHIP","53","42"
"A00050742","Adult- Age 22-59","V1","7","18","7","MANAGED HEALTH EDUCATION PROGRAM","7","20","9","ACCOUNTANT AND LAWYER","7","18","8","TEACHER HIGH SCHOOL MATH","7","17","9","INVESTMENT ADVISOR","61","63.5"
"A00039560","Adult- Age 22-59","V1","5","13","7","OFFICE MANAGER","6","16","4","WORKS FOR HIMSELF SMALL BUSINESS","4","12","6","SECRETARY","0","NA","0","NA","44","42"
"A00029473","Older Adult- Age 65-85","V1","7","19","7","HS HISTORY/ECONOMICS TEACHER","0","NA","0","NA","4","12","6","BANK SECRETARY","5","14","6","COAST GUARD","56","43.5"
"A00073525","ENROLLED","VA_ALG","5","14","8","PRESIDENT OF PROPERTY MANAGEMENT COMPANY","0","NA","0","NA","6","16","8","PRESIDENT OF INDUSTRIAL CLEANING COMPANY","6","16","8","EXECUTIVE VICE PRESIDENT OF PROPERTY MANAGEMENT COMPANY","60","58"
"A00040494","Adult- Age 22-59","V1","5","14","1","PT AT STORE","7","18","7","REAL ESTATE MANAGER","5","14","5","BOOK KEEPER","6","16","6","COURT STENOGRAPHER","38","44"
"A00051603","Adult-Age 18-21","V1","4","12","1","STUDENT","0","NA","0","NA","6","16","6","MANAGER OF YOUTH PROGRAMS AT CHURCH","6","16","6","ADMINISTRATOR AT CITI BANK","17","48"
"A00028858","Older Adult- Age 65-85","V1","5","15","6","ARCHITECTURE DESIGNER","6","16","8","ELEMENTARY SCHOOL TEACHER","3","10","5","SALES ASSISTANT","4","12","6","FURNITURE SALESMAN AND LANDLORD","51.5","38"
"A00060407","Adult- Age 22-59","V1","7","18","9","ARCHITECT","0","N/A","0","N/A","6","16","7","MANAGER OF DATABASES FOR PHARMACEUTICAL COMPANY","7","18","9","ATTORNEY","66","59.5"
"A00055738","Adult- Age 22-59","V1","6","17","6","CASE MANAGER","0","NA","0","NA","4","12","3","NURSE'S AID","6","16","8","FISCAL ANALYST","48","42.5"
"A00066232","ONE_DAY- Age 22-59","VA","6","16","7","MIDDLE SCHOOL SS TEACHER","0","NA","0","NA","4","12","3","HAIR STYLIST","4","12","3","HIGHWAY CONTRACTOR","53","28.5"
"A00062248","ONE_DAY- Age 22-59","VA","7","18","7","IN-COMMUNITY COUNSELOR","6","16","7","MANAGER DAY SERVICES","6","16","9","DENTIST","6","16","9","ENGINEER","54.5","63"
"A00063450","ONE_DAY- Age 18-21","VA","5","13","3","CAMP COUNSELOR","0","NA","0","NA","7","18","7","OCCUPATIONAL THERAPIST","7","18","8","ACCOUNTANT","30","58.5"
"A00066539","ONE_DAY-Age 60-64","VA","6","16","6","SOCIAL WORKER","0","NA","0","NA","4","12","1","HOUSEWIFE","2","9","2","FARMER","48","41"
"A00033248","Adult-Age 18-21","V1","5","15","1","NO REGULAR OCCUPATION","0","N/A","0","N/A","6","16","7","SOCIAL WORKER","0","N/A","0","N/A","20","53"
"A00035363","Adult- Age 22-59","V1","6","16","5","CUSTOMER SERVICE REPRESENTATIVE","0","NA","0","NA","6","16","8","REGISTERED NURSE","4","12","4","MECHANIC","43","45"
"A00039758","Older Adult- Age 65-85","V1","7","18","8","OWNED TRAVEL AGENCY","6","16","8","LIBRARIAN","4","12","5","CLERICAL","4","12","3","NYC BUS DRIVER","59.5","32"
"A00058952","ENROLLED","V1","5","14","3","HAIR STYLIST","0","NA","0","NA","4","12","5","BANK TELLER","0","NA","0","NA","30","37"
"A00027651","Older Adult- Age 65-85","V1","6","16","6","PROBATION OFFICER","0","NA","0","NA","4","GED","5","SECRETARY","4","12","4","POSTAL WORKER","48","34.5"
"A00073677","ENROLLED","VA_ALG","6","16","6","POLICE OFFICER","0","NA","0","NA","4","12","6","CHURCH SECRETARY","3","10","3","DOORMAN","48","33"
"A00040151","Adult- Age 22-59","V1","6","16","7","MANAGER","6","16","7","MANAGER/DIRECTOR","7","21","9","PROFESSOR","7","21","9","PROFESSOR","53","66"
"A00060848","Adult- Age 22-59","V1","5","14","2","NANNY","0","NA","0","NA","6","16","1","HOUSEWIFE","6","16","9","CIVIL ENGINEER","25","63"
"A00035072","ENROLLED","V1REP","6","16","1","SUBSTITUTE TEACHER","5","14","9","COMPUTER ENGINEER","6","16","5","BOOK KEEPER","5","14","6","NYPD","60","44"
"A00037122","Adult- Age 22-59","V1","4","12","4","OWNS SMALL CONSTRUCTION COMPANY","0","NA","0","NA","7","18","7","SPEECH PATHOLOGIST","6","16","9","ENGINEER","32","59.5"
"A00066926","ONE_DAY","VA","5","14","5","BRAND AMBASSADOR/PROMOTION","0","NA","0","NA","0","NA","0","NA","5","13","2","CONSTRUCTION LABORER","40","25"
"A00061802","ONE_DAY- Age 22-59","VA","6","16","7","INSURANCE AGENT","0","NA","0","NA","4","12","3","RETAIL CLERK/CASHIER","4","12","4","BUTCHER/OWNED OWN SHOP","53","29.5"
"A00031549","Adult- Age 22-59","V1","5","15","5","RETAIL","0","NA","0","NA","4","12","5","CASHIER","0","NA","0","NA","40","37"
"A00038115","Adult- Age 22-59","V1","7","18","6","ANTIQUE BUSINESS OWNER 50-70K","0","NA","0","NA","6","16","8","HIGH SCHOOL TEACHER","7","18","8","HIGH SCHOOL TEACHER","51","59.5"
"A00064081","ONE_DAY","VA","6","16","8","RN","5","14","8","ART DIRECTOR OF MAGAZINE","3","10","1","HOUSEWIFE","3","11","4","TELEPHONE TECHNICIAN","56.5","32"
"A00061203","ONE_DAY- Age 22-59","VA","6","16","8","RN","6","16","6","PARALEGAL","4","12","7","REAL ESTATE AGENT","6","16","6","POLICE OFFICER","53","47.5"
"A00066130","ONE_DAY-Age 65-85","VA","5","14","6","ASSISTANT DIRECTOR OF MUSIC - READER'S DIGEST","7","18","7","DIRECTOR OF ADVERTISING","4","12","5","BOOKKEEPER","4","12","6","APPLIANCE BUSINESS OWNER","50.5","39.5"
"A00040525","Adult- Age 22-59","V1","5","15","7","KINDERGARTEN TEACHER","0","NA","0","NA","2","8","3","HOUSEKEEPER-PRIVATE HOUSEHOLD","0","NA","0","NA","50","21"
"A00028340","Older Adult- Age 65-85","V1","4","12","6","ADMINISTRATIVE ASSISTANT","0","NA","0","NA","2","8","0","HOME MAKER","2","8","4","PLUMBER","42","26"
"A00043721","ENROLLED","V1","7","18","7","TEACHER","6","16","6","POLICE OFFICER","4","12","6","SECRETARY","4","12","3","BUS DRIVER","52","34.5"
"A00029215","Adult- Age 22-59","V1","6","16","7","DIRECTOR OF ACTIVITIES IN A NURSING HOME","0","NA","0","NA","4","12","0","HOMEMAKER","1","5","4","CARPENTER","53","23"
"A00039846","Adult- Age 22-59","V1","6","16","7","INVESTMENT CASH MANAGEMENT ANALYST","6","16","9","CLINICAL PHARMACOLOGIST","3","10","5","OWNED SEWING FACTORY","3","10","5","OWNED SEWING FACTORY","58","34"
"A00023510","Adult- Age 22-59","V1","6","16","5","RETAIL","0","NA","0","NA","6","16","8","RN","6","16","8","RN","43","58"
"A00054532","Adult- Age 22-59","V1","5","15","1","STUDENT","0","NA","0","NA","4","12","3","HOME HEALTH AIDE","4","12","3","FUELS PLANES AT AIRPORT","20","27"
"A00028400","Adult- Age 22-59","V1","6","16","5","BOOKKEEPER FOR REAL ESTATE COMPANY","7","18","7","COMMODITIES BROKER, OWNS COMPANY","7","18","7","PSYCHIATRIC SOCIAL WORKER","2","8","4","BRICKLAYER","49.5","41"
"A00065722","ONE_DAY- Age 22-59","VA","7","18","7","SOFTWARE SUPPORT MANAGER","0","N/A","0","N/A","2","7","2","CAFETERIA WORKER","1","6","2","LABORER","56","14.5"
"A00039488","Adult- Age 22-59","V1","5","13","3","FORKLIFT OPERATOR","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","30","NA"
"A00061001","ONE_DAY- Age 22-59","VA","4","12","4","PERSONAL ASSISTANT FOR PODIATRIST","0","NA","0","NA","4","12","6","PARALEGAL","0","NA","0","NA","32","42"
"A00029075","Older Adult- Age 65-85","V1","5","14","7","IT AND INFORMATION SECURITY MANAGER","6","16","7","IT MANAGER","4","12","5","SALES","0","NA","0","NA","51.5","37"
"A00060184","Older Adult- Age 65-85","V1","7","21","9","PROFESSOR- COLLEGE","7","18","9","ENGINEER","7","18","7","ART TEACHER-ELEMENTARY","7","21","8","NAVAL INTELLIGENCE OFFICER","66","58.5"
"A00063589","ONE_DAY","VA","6","16","6","PROGRAM COORDINATOR - LEARNING CENTER","0","NA","0","NA","6","16","6","PARALEGAL FOR STOCK BROKER","5","13","7","ACCOUNTANT/(NO CPA) FINANCIAL SERVICES","48","49"
"A00028521","Older Adult- Age 65-85","V1","6","16","7","OWNED INSURANCE AGENCY","6","16","8","DIRECTOR OF HUMAN RESOURCES","4","12","5","SECRETARY TO FEDERAL GOVERNMENT OFFICER","4","12","7","MANAGER IN GARMENT INDUSTRIES","55.5","42"
"A00057182","ENROLLED","V1","5","15","5","WRITING CONSULTANT","0","NA","0","NA","7","18","7","ELEMENTARY TEACHER","7","18","8","PASTOR","40","58.5"
"A00039856","Older Adult- Age 65-85","V1","7","18","7","MIDDLE SCHOOL TEACHER","0","NA","0","NA","2","8","3","FACTORY WORKER","4","12","5","OWNED DRY GOODS BUSINESS","56","29"
"A00043739","Adult- Age 22-59","V1","6","16","7","INSURANCE AGENT","7","18","9","SYSTEMS ENGINEER FOR COMPUTER TECHNOLOGY","5","14","1","HOMEMAKER","5","14","5","OWNED CATERING BUSINESS","59.5","40"
"A00040784","Older Adult- Age 60-64","V1","6","16","9","CEO OF CREDIT UNION","0","NA","0","NA","4","12","5","BOOK KEEPING","4","12","7","DEPARTMENT HEAD IN FACTORY","63","42"
"A00063031","ONE_DAY- Age 22-59","VA","5","14","6","EXECUTIVE ASSISTANT","0","NA","0","NA","7","21","8","UNIVERSITY DEAN","7","18","8","HIGH SCHOOL TEACHER","45","61"
"A00073529","ENROLLED","VA_ALG","6","16","8","REGISTERED NURSE","6","16","8","ACCOUNTANT","6","16","8","REGISTERED NURSE","6","16","9","PRESIDENT OF BANK","58","60.5"
"A00061790","ONE_DAY- Age 22-59","VA","6","16","7","IT MANAGER","5","14","6","DIRECTOR OF MATERIALS- SEMI CONDUCTOR","6","16","8","RN","3","10","2","CONSTRUCTION","49","38.5"
"A00059361","Older Adult- Age 65-85","V1","7","18","8","COORDINATOR OF STUDENT AFFAIRS HIGH SCHOOL, SENIOR ADVISOR","7","18","8","DIRECTOR OF EARLY CHILDHOOD CENTER","5","14","8","NURSE","7","18","8","TEACHER - HIGH SCHOOL","61","58"
"A00061281","ONE_DAY-Age 65-85","VA","7","18","9","SOFTWARE ENGINEER-DEVELOPMENT MANAGER","3","10","6","SECRETARY-HS","3","10","6","SECRETARY","3","10","4","ROYAL AIR FORCE-NCO","52.5","34"
"A00040944","Adult- Age 22-59","V1","6","16","6","LEGAL ASSISTANT","0","NA","0","NA","4","12","5","CASHIER","0","NA","0","NA","48","37"
"A00037378","Adult- Age 22-59","V1","4","12","5","CASHIER","0","NA","0","NA","3","11","6","MARKET RESEARCH","4","12","2","GARBAGE TRUCK DRIVER","37","30.5"
"A00025566","Older Adult- Age 65-85","V1","6","16","7","MIDDLE MANAGEMENT","5","13","6","SUPERINTENDENT'S SECRETARY","4","12","0","NA","1","4","3","TRUCK DRIVER","49","18"
"A00066820","ONE_DAY-Age 65-85","VA","6","16","6","BUSINESS OWNER","0","NA","0","NA","4","12","5","CLERICAL WORK","4","12","7","MANAGER OF TELECOMMUNICATIONS","48","42"
"A00028678","Older Adult- Age 65-85","V1","6","16","7","RETAIL MANAGER","6","16","5","OWNED SMALL BUSINESS","4","12","7","OWNED SMALL RETAIL BUSINESS","6","16","7","OWNED SMALL RETAIL BUSINESS","48","50"
"A00066781","ONE_DAY","VA","7","18","6","LEGAL RESEARCHER","0","NA","0","NA","6","16","8","DIRECTOR OF NURSING","6","16","6","PARALEGAL","51","53"
"A00055160","ENROLLED","V1","5","14","3","TRANSPORTER","0","NA","0","NA","6","16","8","RN","5","14","3","TRUCK DRIVER","30","44"
"A00054534","Adult-Age 18-21","V1","5","15","1","STUDENT","0","NA","0","NA","6","16","6","ASSISTANT TO PASTOR","7","20","8","PASTOR","20","54.5"
"A00037112","ENROLLED","V1REP","7","18","7","PROGRAM DIRECTOR FOR MENTAL HEALTH AGENCY","0","NA","0","NA","6","16","8","EDITOR","6","16","6","SALESMAN RESTAURANT","56","53"
"A00031452","Adult- Age 22-59","V1","5","15","6","NYPD DETECTIVE","0","NA","0","NA","7","18","7","6TH GRADE TEACHER","6","16","9","CHEMIST","45","59.5"
"A00033748","Adult- Age 22-59","V1","4","12","6","EXECUTIVE SECRETARY","5","13","6","SMALL BUSINESS OWNER","4","12","5","RETAIL ASSOCIATE","4","12","2","CONSTRUCTION WORKER","43.5","29.5"
"A00066812","ONE_DAY","VA","5","14","5","BANK TELLER","0","N/A","0","N/A","5","14","7","ACCOUNTANT","4","12","3","SECURITY GUARD","40","38.5"
"A00040580","Older Adult- Age 60-64","V1","6","16","6","MEDICAL LAB TECHNICIAN","0","NA","0","NA","1","3","1","HOMEMAKER","1","5","6","SMALL BUSINESS OWNER","48","33"
"A00032010","Older Adult- Age 65-85","V1","4","12","6","SECRETARY","4","12","6","POLICE OFFICER","0","NA","0","NA","0","NA","0","NA","42",""
"A00059663","Older Adult- Age 65-85","V1","7","18","7","DIRECTOR OF PT & OT FOR SCHOOL DISTRICT","0","N/A","0","N/A","4","12","6","SECRETARY","4","12","5","TELEGRAPHER FOR ASSOCIATED PRESS","56","39.5"
"A00034093","Older Adult- Age 65-85","V1","6","16","7","SALESMAN AT IBM","5","14","6","MARKETING REPRESENTATIVE","6","16","6","TEACHING ASSISTANT","6","16","8","EDITOR","49","53"
"A00028430","Adult- Age 22-59","V1","5","14","6","FAMILY SUPPORT WORKER","7","18","9","CIVIL ENGINEER","5","15","8","NURSE","3","10","3","HEALTHCARE AIDE","55.5","39.5"
"A00056627","ENROLLED","V1","6","16","2","WAITRESS","0","NA","0","NA","6","16","7","EDUCATIONAL COUNSELOR","3","11","4","MILLWRIGHT","28","36"
"A00039635","Adult- Age 22-59","V1","5","15","7","MANAGER","0","NA","0","NA","4","12","1","HOUSEWIFE","5","13","4","ELECTRICIAN, CONSTRUCTION","50","35"
"A00059361","ENROLLED","VA_ALG","7","18","8","HIGH SCHOOL TEACHER","7","18","7","EARLY CHILDHOOD CENTER DIRECTOR","6","14","8","REGISTERED NURSE","7","18","8","HIGH SCHOOL TEACHER","58.5","59.5"
"A00059344","ENROLLED","VA_ALG","5","14","5","COLLECTOR FOR CON ED","0","NA","0","NA","0","NA","0","NA","4","12","6","HEAD COOK AT HOSPITAL","40","42"
"A00058130","Older Adult- Age 65-85","V1","6","16","8","CLERGYMAN/RABI","0","NA","0","NA","0","UNKNOWN","1","NEVER WORKED OUTSIDE OF HOME","0","UNKNOWN","4","PLUMBER/INSPECTOR","58","PARTICIPANT DID NOT KNOW EITHER PARENT'S EDUCATION HISTORY THEREFORE THIS SECTION UNABLE TO BE COMPLETED."
