"","","","Writing:","Do you ever use the other hand?","Drawing:","Do you ever use the other hand?","Throwing:","Do you ever use the other hand?","Using Scissors:","Do you ever use the other hand?","Using a Toothbrush:","Do you ever use the other hand?","Using a Knife (without a fork):","Do you ever use the other hand?","Using a Spoon:","Do you ever use the other hand?","Using a Broom (upper hand):","Do you ever use the other hand?","Striking a Match:","Do you ever use the other hand?","Opening a Box (holding the lid):","Do you ever use the other hand?","Holding a Computer Mouse:","Do you ever use the other hand?","Using a Key to Unlock a Door:","Do you ever use the other hand?","Holding a Hammer:","Do you ever use the other hand?","Holding a Brush or Comb:","Do you ever use the other hand?","Holding a Cup while Drinking:","Do you ever use the other hand?","LATERALITY INDEX","DECILE"
"A00030912","Older Adult- Age 60-64","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","90","7TH RIGHT"
"A00061714","ONE_DAY-AGE 16-17","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00057808","ENROLLED","V1","3","1","3","0","3","1","3","1","3","0","3","0","3","1","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","70","3RD RIGHT"
"A00040628","Adult-Age 18-21","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00038603","Child -Age 8","V1","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","1","3","1","3","0","3","1","3","1","90","7TH RIGHT"
"A00032864","Child-Age 11","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","2","0","3","1","3","0","3","0","3","0","3","0","3","1","80","5TH RIGHT"
"A00057313","ENROLLED","V1","3","0","3","0","3","1","3","0","3","1","3","1","3","0","2","1","3","0","2","1","3","0","3","0","3","1","2","0","3","1","65","2ND RIGHT"
"A00064328","ONE_DAY-Age 65-85","VA","3","0","3","0","1","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","80","5TH RIGHT"
"A00033834","Adult- Age 22-59","V1","3","1","3","1","3","1","3","1","3","1","3","1","3","0","3","1","3","0","1","1","3","1","3","0","3","1","3","1","3","1","50","1ST RIGHT"
"A00061204","ONE_DAY","VA","3","0","3","0","3","1","3","0","3","1","3","1","3","1","3","1","3","0","3","1","3","0","3","1","3","1","3","1","3","1","70","3RD RIGHT"
"A00040891","Adult- Age 22-59","V1","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","95","9TH RIGHT"
"A00043704","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","3","1","3","1","90","7TH RIGHT"
"A00062798","ONE_DAY-Age 6","VA","1","1","3","0","2","1","1","1","2","0","3","1","2","1","1","1","2","0","3","1","2","0","2","0","3","1","1","1","2","0","5","MIDDLE"
"A00045590","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","0","3","0","3","1","90","7TH RIGHT"
"A00032010","Older Adult- Age 65-85","V1","3","1","3","1","3","1","3","0","3","0","3","1","3","1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","70","3RD RIGHT"
"A00055751","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","80","5TH RIGHT"
"A00055332","Child - Age 15","V1","3","0","3","1","3","0","3","0","3","1","3","1","3","1","3","1","3","0","3","1","3","0","3","0","3","1","3","1","3","1","70","3RD RIGHT"
"A00066245","ENROLLED","VA_ALG","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00028995","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","100","10TH RIGHT"
"A00061881","ONE_DAY- Age 18-21","VA","3","0","3","1","3","1","3","1","3","1","3","1","3","0","3","0","1","1","2","1","3","0","2","1","3","0","2","1","3","1","50","1ST RIGHT"
"A00038718","Adult-Age 18-21","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","1","1","3","1","2","0","3","0","3","0","3","0","3","1","3","1","65","2ND RIGHT"
"A00061415","ONE_DAY-AGE 9-10","VA","1","0","2","1","2","1","2","1","1","0","2","0","2","1","1","0","2","1","3","0","3","0","3","0","1","0","2","1","2","0","-20","MIDDLE"
"A00060480","ENROLLED","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","0","3","0","3","1","90","7TH RIGHT"
"A00035951","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00037545","Adult- Age 22-59","V1","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","80","5TH RIGHT"
"A00058515","ENROLLED","V1","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","3","0","2","1","1","0","1","0","1","0","-100","10TH LEFT"
"A00063481","ONE_DAY- Age 22-59","VA","3","0","3","0","3","0","3","0","3","0","1","1","3","1","1","0","3","1","3","1","3","1","3","0","3","0","3","0","3","1","50","1ST RIGHT"
"A00061767","ONE_DAY-Age 65-85","VA","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","1","3","0","3","1","3","1","3","0","3","1","3","1","3","1","80","5TH RIGHT"
"A00054504","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00053320","Child -Age 8","V1","3","0","3","0","3","1","2","1","3","1","2","1","3","0","2","1","3","0","2","1","3","0","2","1","2","1","2","1","3","0","50","1ST RIGHT"
"A00044084","Adolescent- Age  16-17","V1","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00065262","ONE_DAY-AGE 13","VA","1","0","1","0","3","1","3","0","1","0","1","1","1","1","1","1","2","1","1","1","3","0","3","0","3","1","3","1","2","1","-35","1ST LEFT"
"A00031872","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","3","1","3","1","3","0","3","0","3","1","3","1","85","6TH RIGHT"
"A00035440","Older Adult- Age 60-64","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00040536","Older Adult- Age 65-85","V1","3","1","3","1","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","75","4TH RIGHT"
"A00039974","Older Adult- Age 60-64","V1","1","0","1","0","1","0","1","0","1","1","1","1","1","0","1","1","1","1","1","1","3","1","1","1","1","0","1","1","1","1","-75","4TH LEFT"
"A00050815","Adult- Age 22-59","V1","1","1","1","1","1","0","3","1","1","1","3","0","1","1","1","1","3","1","3","1","3","1","3","1","1","1","1","1","1","1","-10","MIDDLE"
"A00055738","Adult- Age 22-59","V1","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","0","3","1","3","1","85","6TH RIGHT"
"A00058667","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","90","7TH RIGHT"
"A00039490","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","2","1","3","0","3","0","3","0","3","0","2","1","80","5TH RIGHT"
"A00053607","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","100","10TH RIGHT"
"A00052307","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","1","3","0","3","1","3","0","3","1","3","0","3","0","3","1","80","5TH RIGHT"
"A00038623","Adult- Age 22-59","V1","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","85","6TH RIGHT"
"A00039975","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","0","3","0","3","1","90","7TH RIGHT"
"A00031167","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","1","1","3","1","1","1","3","0","3","1","3","1","3","1","1","1","55","1ST RIGHT"
"A00058516","Child Age 9-10","V1","3","1","3","1","3","1","3","0","3","0","3","0","3","0","3","1","3","0","2","0","3","0","3","0","3","0","3","0","3","0","70","3RD RIGHT"
"A00043998","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","1","100","10TH RIGHT"
"A00066581","ONE_DAY-AGE 12","VA","3","0","3","0","2","1","3","0","3","0","3","0","3","0","3","0","3","0","2","0","3","0","3","0","3","0","3","0","3","0","80","5TH RIGHT"
"A00053647","Adult- Age 22-59","V1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","0","2","1","3","1","1","1","1","0","1","0","1","1","-65","3RD LEFT"
"A00057809","Child Age 8","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","1","2","0","3","1","3","0","2","0","3","1","3","1","3","0","75","4TH RIGHT"
"A00028766","Adult-Age 18-21","V1","3","1","3","1","3","1","3","1","3","0","3","1","3","0","3","1","3","0","3","1","3","1","3","1","3","0","3","1","3","1","65","2ND RIGHT"
"A00055624","Child Age 9-10","V1","2","1","3","1","3","0","2","1","3","1","3","1","1","1","1","1","3","1","1","1","3","1","1","1","3","1","1","1","2","1","15","MIDDLE"
"A00039488","Adult- Age 22-59","V1","1","1","1","1","1","1","1","1","2","1","2","1","1","0","2","1","2","1","2","1","3","0","2","1","1","1","1","1","2","1","-30","1ST LEFT"
"A00051548","ENROLLED","V1","3","0","2","1","3","0","3","0","3","1","3","1","3","0","3","1","3","0","2","1","3","0","3","1","3","0","3","1","3","1","65","2ND RIGHT"
"A00054532","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","95","9TH RIGHT"
"A00028339","Adult- Age 22-59","V1","3","1","3","0","3","0","3","0","3","0","2","1","3","0","2","1","3","0","2","1","3","0","3","0","3","0","3","1","3","1","65","2ND RIGHT"
"A00040629","Older Adult- Age 65-85","V1","1","1","2","1","1","1","1","0","2","1","1","1","2","1","1","0","1","0","1","0","2","1","2","1","1","1","2","1","2","1","-55","3RD LEFT"
"A00040827","Adult-Age 18-21","V1","3","1","3","0","3","1","3","0","3","1","3","0","3","0","2","1","3","0","3","1","3","0","3","0","3","0","3","0","2","1","70","3RD RIGHT"
"A00031216","Adult-Age 18-21","V1","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","1","90","7TH RIGHT"
"A00059846","Child - Age 15","V1","3","0","3","0","3","1","3","1","3","1","3","1","3","1","2","1","2","1","3","1","3","0","3","0","3","0","3","1","2","1","50","1ST RIGHT"
"A00066735","ONE_DAY- Age 22-59","VA","3","0","3","0","3","0","3","0","3","1","3","1","3","1","3","1","3","1","3","1","3","0","3","1","3","1","3","1","3","1","70","3RD RIGHT"
"A00032007","Adult-Age 18-21","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","2","1","3","0","3","0","3","0","3","0","3","0","3","1","2","1","85","6TH RIGHT"
"A00051678","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","100","10TH RIGHT"
"A00053902","ENROLLED","V1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","3","0","2","1","3","0","3","1","3","0","3","1","3","1","70","3RD RIGHT"
"A00063425","ONE_DAY-Age 14","VA","3","0","3","0","3","1","3","1","3","1","3","0","3","1","3","0","3","0","3","1","3","0","3","0","3","0","2","1","3","0","75","4TH RIGHT"
"A00066237","ENROLLED","VA_ALG","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","3","0","1","1","3","0","3","0","3","0","3","1","3","1","75","4TH RIGHT"
"A00034074","Adolescent- Age  16-17","V1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","2","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","70","3RD RIGHT"
"A00040383","Adult- Age 22-59","V1","1","0","1","0","3","0","3","0","3","0","3","0","2","1","3","1","3","0","2","1","3","0","3","0","3","0","3","0","2","1","35","MIDDLE"
"A00028287","Adult-Age 18-21","V1","3","1","3","0","3","1","3","1","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","80","5TH RIGHT"
"A00035633","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","85","6TH RIGHT"
"A00059427","Child Age 9-10","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","0","3","0","3","0","3","0","3","0","3","0","3","0","90","7TH RIGHT"
"A00054656","Older Adult- Age 60-64","V1","3","0","3","0","3","1","2","1","2","1","2","1","2","0","2","1","2","1","2","1","3","0","3","0","3","0","2","1","2","1","25","MIDDLE"
"A00027651","Older Adult- Age 65-85","V1","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","1","1","1","1","0","3","1","1","0","1","1","1","1","-90","7TH LEFT"
"A00035945","Child- Age 13","V1","3","1","3","0","3","0","3","1","2","1","3","0","2","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","70","3RD RIGHT"
"A00066864","ENROLLED","VA_ALG","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","0","2","1","3","0","3","0","3","0","2","1","2","1","80","5TH RIGHT"
"A00039074","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","1","1","1","3","1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","70","3RD RIGHT"
"A00039559","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","90","7TH RIGHT"
"A00039758","Older Adult- Age 65-85","V1","1","0","1","0","1","0","3","0","1","0","1","0","1","0","1","0","1","0","1","0","3","0","1","1","1","0","3","1","3","1","-80","5TH LEFT"
"A00062370","ONE_DAY-AGE 16-17","VA","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","50","1ST RIGHT"
"A00053926","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","1","3","1","3","1","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","1","80","5TH RIGHT"
"A00039846","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","100","10TH RIGHT"
"A00060472","Child Age 16-17","V1","3","0","3","0","3","0","3","1","3","1","3","1","3","1","1","1","3","1","3","1","3","0","3","1","3","0","2","1","2","1","55","1ST RIGHT"
"A00040784","Older Adult- Age 60-64","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","3","0","3","0","3","0","3","0","3","0","90","7TH RIGHT"
"A00053854","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","100","10TH RIGHT"
"A00060302","ENROLLED","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","1","3","1","3","1","90","7TH RIGHT"
"A00060675","Child- Age 6","V1","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00028185","ENROLLED","V1REP","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","100","10TH RIGHT"
"A00065197","ONE_DAY- Age 18-21","VA","3","0","3","0","3","0","3","0","3","0","2","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","90","7TH RIGHT"
"A00043384","Adult-Age 18-21","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","0","90","7TH RIGHT"
"A00037589","Older Adult- Age 65-85","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","95","9TH RIGHT"
"A00053874","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","1","3","0","2","1","3","0","3","0","3","0","3","1","2","1","75","4TH RIGHT"
"A00055215","Adult- Age 22-59","V1","3","1","3","1","3","1","3","0","3","0","3","0","3","1","2","1","3","0","3","1","3","1","3","0","3","0","3","0","2","1","65","2ND RIGHT"
"A00060259","ENROLLED","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","1","3","0","2","1","3","0","3","1","3","0","3","0","2","1","80","5TH RIGHT"
"A00038959","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00065717","ONE_DAY-Age 60-64","VA","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","1","3","0","3","0","3","0","3","0","3","0","3","1","85","6TH RIGHT"
"A00061407","ONE_DAY","VA","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","3","0","3","0","3","0","3","0","90","7TH RIGHT"
"A00035941","Child - Age 14","V1","3","1","3","1","3","1","2","1","3","0","3","1","2","1","3","0","2","0","3","1","3","0","3","0","3","0","3","0","2","1","45","MIDDLE"
"A00028522","Older Adult- Age 65-85","V1","3","0","3","0","1","0","3","0","1","1","1","0","3","1","1","1","1","0","2","1","2","1","1","1","1","0","1","0","2","1","-5","MIDDLE"
"A00037588","Adult- Age 22-59","V1","3","1","3","1","3","0","3","1","3","1","3","1","3","1","3","1","2","0","2","1","3","0","3","1","3","1","3","1","3","1","45","MIDDLE"
"A00037122","Adult- Age 22-59","V1","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","2","1","90","7TH RIGHT"
"A00066711","ONE_DAY-Age 8","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","3","0","3","0","3","0","3","1","90","7TH RIGHT"
"A00054173","Adult-Age 18-21","V1","1","1","1","0","1","1","1","0","1","0","1","0","1","0","1","1","1","0","1","1","1","1","1","0","1","0","1","1","2","1","-80","5TH LEFT"
"A00039218","Adult- Age 22-59","V1","3","0","3","0","3","0","3","1","3","1","3","0","3","0","3","1","3","1","3","0","3","0","3","0","3","0","3","1","3","1","80","5TH RIGHT"
"A00063031","ONE_DAY- Age 22-59","VA","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","0","3","1","3","0","3","1","3","1","85","6TH RIGHT"
"A00062146","ONE_DAY-AGE 14","VA","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","1","90","7TH RIGHT"
"A00043635","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00028912","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","95","9TH RIGHT"
"A00029231","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","85","6TH RIGHT"
"A00055352","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","95","9TH RIGHT"
"A00050998","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","1","90","7TH RIGHT"
"A00054622","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","95","9TH RIGHT"
"A00055646","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","3","0","3","0","3","1","3","1","90","7TH RIGHT"
"A00039393","Adult- Age 22-59","V1","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","1","-95","9TH LEFT"
"A00033647","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00059316","Child Age 12","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00055158","Child Age 13","V1","3","1","3","0","3","0","3","0","3","1","1","1","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","1","70","3RD RIGHT"
"A00056724","Child- Ages 9-10","V1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00064596","ONE_DAY-AGE 12","VA","3","0","3","0","3","1","3","1","3","1","3","0","3","0","1","0","3","0","3","0","3","1","3","0","3","1","3","1","3","1","65","2ND RIGHT"
"A00060846","Child- Age 13","V1","1","1","1","1","1","0","2","1","2","1","1","0","1","0","1","0","1","1","1","1","3","0","3","1","1","0","1","1","1","1","-60","3RD LEFT"
"A00050977","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","0","3","0","3","0","95","9TH RIGHT"
"A00037421","Adult- Age 22-59","V1","3","1","3","1","3","0","3","0","3","0","1","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","75","4TH RIGHT"
"A00052639","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","1","3","0","3","0","3","0","3","1","90","7TH RIGHT"
"A00035535","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","3","0","3","1","3","0","3","1","3","0","3","0","3","1","85","6TH RIGHT"
"A00060925","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","2","1","90","7TH RIGHT"
"A00039856","Older Adult- Age 65-85","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00066388","ONE_DAY-Age 8","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00063589","ONE_DAY","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00061410","ONE_DAY-Age 11","VA","3","0","3","0","3","1","3","1","3","1","3","0","3","1","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","70","3RD RIGHT"
"A00033022","Older Adult- Age 60-64","V1","3","0","3","0","3","0","3","0","3","0","2","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","3","0","2","1","90","7TH RIGHT"
"A00059344","ENROLLED","V1","3","1","3","1","3","0","2","1","3","1","3","0","3","1","2","1","3","0","2","1","3","0","2","1","3","0","2","1","3","1","50","1ST RIGHT"
"A00050679","Older Adult- Age 65-85","V1","3","1","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","85","6TH RIGHT"
"A00060184","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","2","1","3","1","3","0","1","1","3","0","3","1","3","1","3","0","3","1","3","0","3","1","65","2ND RIGHT"
"A00051774","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","1","3","0","3","1","3","1","3","1","3","1","3","1","3","1","80","5TH RIGHT"
"A00040500","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","1","85","6TH RIGHT"
"A00037459","Child- Age 13","V1","1","1","1","0","1","0","1","0","1","0","3","0","1","0","1","0","2","0","1","0","3","0","1","0","1","0","1","0","1","0","-65","3RD LEFT"
"A00066860","ONE_DAY-Age 7","VA","3","1","3","1","3","1","2","1","2","1","3","0","2","0","2","1","2","1","2","1","3","0","3","0","2","1","2","1","1","1","25","MIDDLE"
"A00041503","Child -Age 8","V1","3","0","3","0","3","0","3","0","3","0","2","0","3","0","3","0","2","0","3","0","3","0","3","0","3","0","3","0","3","0","80","5TH RIGHT"
"A00058539","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","95","9TH RIGHT"
"A00052118","Older Adult- Age 65-85","V1","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","2","1","1","0","2","1","1","0","1","0","1","0","-90","7TH LEFT"
"A00064418","ONE_DAY-Age 11","VA","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","85","6TH RIGHT"
"A00055447","ENROLLED","V1","3","1","3","1","3","1","2","1","1","0","3","0","2","1","2","1","1","1","3","1","3","0","2","1","3","0","2","1","1","1","15","MIDDLE"
"A00060673","Child- Age 6","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00063103","ONE_DAY- Age 22-59","VA","3","0","3","0","3","1","3","0","3","0","3","1","3","1","2","1","3","0","3","1","3","0","3","1","3","0","2","1","2","1","70","3RD RIGHT"
"A00060582","Adult- Age 22-59","V1","1","0","1","0","1","1","2","1","1","1","1","1","2","1","1","0","1","0","1","1","3","0","2","1","2","1","2","1","1","1","-60","3RD LEFT"
"A00052125","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","100","10TH RIGHT"
"A00039966","Older Adult- Age 65-85","V1","1","0","1","0","1","0","3","1","1","0","1","0","1","0","2","1","1","0","1","1","1","0","2","1","1","0","1","0","1","0","-70","4TH LEFT"
"A00038411","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","1","3","1","3","1","3","1","3","1","3","1","3","0","3","1","3","0","3","1","3","1","70","3RD RIGHT"
"A00060301","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","100","10TH RIGHT"
