"","","","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","FINANCIAL SUBSCALE (RISK TAKING)","ETHICAL SUBSCALE (RISK TAKING)","HEALTH/SAFETY SUBSCALE (RISK TAKING)","RECREATIONAL SUBSCALE (RISK TAKING)","SOCIAL SUBSCALE(RISK TAKING)","RISK TAKING OVERALL SCALE SCORE","ETHICAL SUBSCALE (RISK PERCEPTION)","FINANCIAL SUBSCALE (RISK PERCEPTION)","HEALTH/SAFETY SUBSCALE (RISK PERCEPTION)","RECREATIONAL SUBSCALE(RISK PERCEPTION)","SOCIAL SUBSCALE (RISK PERCEPTION)","OVERALL SCALE TOTAL SCORE RISK PERCEPTION","ETHICAL SUBSCALE (EXPECTED BENEFITS)","FINANCIAL SUBSCALE (EXPECTED BENEFITS)","HEALTH/SAFETY SUBSCALE (EXPECTED BENEFITS)","RECREATIONAL SUBSCALE (EXPECTED BENEFITS)","SOCIAL SUBSCALE (EXPECTED BENEFITS)","OVERALL SCALE TOTAL (EXPECTED BENEFITS)"
"A00028625","Older Adult- Age 65-85","V2","7","6","1","7","1","5","7","1","1","1","1","1","5","1","1","2","3","4","1","3","7","7","7","1","6","3","3","2","2","1","1","1","7","2","7","3","5","7","7","5","7","7","2","7","5","6","2","5","2","2","2","5","2","1","1","3","2","3","3","5","5","6","1","4","1","3","3","1","2","2","1","2","5","2","4","2","2","4","1","1","6","4","4","1","5","4","1","4","2","2","15","12","18","20","33","98","29","35","21","14","18","117","13","14","16","19","23","85"
"A00060602","Older Adult- Age 65-85","V2","1","4","1","4","1","2","4","1","1","1","1","1","1","1","1","1","1","1","2","1","5","3","3","1","1","1","2","5","1","1","1","5","7","6","6","4","2","7","6","3","7","5","6","7","7","7","6","5","2","7","1","2","3","7","7","7","2","2","6","5","1","4","3","4","1","4","2","1","1","4","3","4","4","4","1","1","1","4","4","3","6","5","1","2","1","1","1","6","1","4","9","7","8","10","20","54","31","37","36","34","10","148","15","20","8","18","21","82"
"A00062266","ONE_DAY- Age 22-59","VA","6","7","2","6","7","1","2","2","1","1","2","1","5","1","4","4","5","6","6","1","6","6","3","2","2","2","6","6","1","2","5","2","7","3","5","6","5","7","7","6","6","4","4","7","3","5","6","4","3","7","3","4","3","5","4","6","3","2","7","2","4","6","2","5","1","1","4","2","1","1","4","3","6","2","4","3","1","5","4","1","6","3","2","2","5","1","6","4","1","2","18","10","22","24","32","106","33","32","30","24","22","141","9","19","10","27","27","92"
"A00055692","Adult- Age 22-59","V2","4","7","5","3","1","7","7","1","7","1","1","7","7","1","1","1","7","1","7","7","4","7","7","7","7","7","7","7","1","7","1","1","7","1","7","1","1","7","1","7","7","1","1","1","7","7","7","1","1","7","7","1","1","7","1","1","1","1","7","1","1","1","1","1","1","4","4","1","4","1","1","4","1","4","1","1","1","4","4","1","4","1","1","1","4","4","4","4","1","4","18","24","30","36","36","144","24","18","30","18","12","102","15","15","9","12","18","69"
"A00040573","Adult- Age 22-59","V2","6","3","1","6","5","1","2","1","1","4","3","4","3","1","5","2","5","7","5","2","4","6","5","1","4","3","2","5","1","2","1","4","7","1","2","7","7","7","7","6","6","7","6","7","7","7","6","2","3","5","3","3","6","7","5","5","4","3","6","6","1","1","1","5","1","2","1","1","1","2","3","2","1","1","1","1","1","5","5","1","6","4","1","1","1","1","4","4","1","1","20","11","25","19","25","100","39","31","31","31","21","153","8","15","6","12","20","61"
"A00056306","Adult- Age 22-59","V2","7","1","1","4","5","1","1","1","1","1","1","3","3","1","7","3","1","4","1","1","4","6","6","1","1","1","1","3","1","2","1","4","7","5","4","7","7","7","7","6","7","4","7","7","3","6","7","7","5","7","2","4","4","7","7","7","5","5","7","4","3","1","1","4","4","1","1","3","1","1","1","3","3","3","5","3","1","3","4","1","4","4","3","1","1","1","4","4","1","2","14","9","21","8","22","74","37","37","32","37","24","167","9","17","15","11","20","72"
"A00040741","Older Adult- Age 65-85","V2","6","1","1","6","1","1","1","1","1","1","1","3","1","1","1","1","1","5","1","1","3","3","1","1","3","1","6","1","1","1","4","7","7","1","7","7","5","7","7","7","7","5","7","7","7","7","5","4","7","7","4","4","5","7","4","7","4","5","7","4","1","2","1","4","1","4","5","1","1","2","1","3","3","1","1","1","1","3","1","1","3","3","1","1","2","1","5","5","1","1","17","6","6","8","20","57","39","31","38","39","26","173","10","13","6","10","22","61"
"A00066131","ENROLLED","VA_ALG","6","7","1","6","2","3","5","1","2","1","1","3","3","1","1","2","1","5","3","1","7","6","5","1","7","3","2","7","2","1","1","1","6","2","6","5","3","2","5","3","6","5","4","5","7","4","6","3","4","7","2","3","4","4","3","3","3","1","3","1","3","7","2","5","2","3","3","5","1","2","2","5","4","2","2","2","1","6","6","1","7","5","1","5","7","2","6","7","2","3","17","11","13","22","33","96","21","23","33","22","13","112","13","25","9","31","31","109"
"A00056097","Adult- Age 22-59","V2","6","6","1","4","5","3","6","1","3","1","3","2","5","1","3","2","1","3","6","2","5","5","3","7","5","3","6","6","4","3","2","2","7","4","4","7","4","7","6","5","5","7","4","7","6","5","4","5","3","7","4","4","5","2","4","5","2","2","4","1","5","6","2","5","5","6","4","2","5","3","5","3","5","2","5","3","1","5","7","1","6","5","3","6","6","2","6","6","3","7","12","16","17","32","34","111","28","37","31","20","18","134","27","19","17","35","32","130"
"A00061407","ONE_DAY","VA","6","4","1","7","7","1","1","1","1","1","1","5","6","1","1","7","1","7","5","1","3","3","3","1","1","1","1","1","1","1","1","6","7","2","7","6","5","7","7","7","7","2","5","7","7","7","7","7","7","7","5","3","7","7","7","7","1","1","7","1","7","7","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4","1","4","4","1","2","1","1","4","1","2","1","22","12","14","18","15","81","35","32","42","39","16","164","7","12","6","16","21","62"
"A00054482","Older Adult- Age 65-85","V2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","5","1","1","1","1","1","5","1","1","1","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","3","4","7","7","7","7","7","3","7","7","7","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4","1","1","1","1","1","4","1","1","6","6","6","6","18","42","42","42","42","42","25","193","6","6","6","6","21","45"
"A00037646","Adult- Age 22-59","V2","6","7","1","5","1","1","5","1","1","1","1","5","6","1","1","1","1","5","7","5","4","7","5","5","5","1","1","3","1","1","1","2","3","2","6","7","6","5","7","7","7","6","5","6","7","5","5","6","5","5","5","6","5","7","7","5","1","2","7","1","1","4","4","4","1","4","4","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","4","1","1","18","6","14","31","26","95","34","28","33","33","21","149","9","15","6","11","12","53"
"A00037112","Adult- Age 22-59","V2","6","4","1","7","2","1","1","1","2","2","1","7","6","1","5","5","1","1","6","1","3","5","7","5","1","3","1","1","1","2","1","1","7","2","6","2","7","7","7","6","6","2","2","7","7","6","7","6","7","7","6","6","7","7","6","7","6","6","7","1","1","1","7","7","1","6","1","7","6","6","1","7","1","7","1","1","1","7","1","1","6","4","1","1","1","1","4","5","1","7","18","13","19","23","17","90","29","31","41","29","32","162","27","42","6","6","21","102"
"A00061656","ONE_DAY-Age 65-85","VA","7","7","1","5","1","2","6","3","1","1","1","1","1","1","1","1","2","4","1","1","2","7","1","1","1","6","6","7","1","1","1","1","6","5","6","5","3","4","7","7","6","5","6","6","7","6","5","3","6","7","3","2","7","7","7","4","1","1","7","1","1","1","2","2","1","2","1","2","1","1","1","2","1","1","1","1","1","2","1","1","5","4","1","1","2","2","2","5","2","2","15","7","12","12","35","81","33","29","36","33","11","142","9","11","7","7","18","52"
"A00037476","Adult-Age 18-21","V2","4","7","1","1","6","1","4","1","1","1","1","1","2","1","7","5","1","1","1","1","7","7","5","1","1","4","5","5","4","2","1","2","7","5","3","7","3","7","7","7","7","7","5","7","5","3","6","7","2","6","3","2","5","5","5","5","2","3","5","5","6","7","4","4","1","2","4","3","1","1","1","2","4","4","7","1","1","1","1","1","5","4","2","1","1","1","5","6","2","1","6","14","24","13","32","89","34","40","30","26","14","144","8","18","13","15","30","84"
"A00038806","Older Adult- Age 60-64","V2","4","2","1","2","1","3","2","1","1","1","3","3","1","1","1","2","2","2","2","1","7","5","3","1","1","6","6","7","4","2","1","2","6","5","7","5","3","6","5","6","5","6","7","5","4","6","2","3","4","5","2","2","2","6","5","2","2","1","2","3","1","3","2","4","1","4","5","4","1","1","1","4","1","4","1","1","1","6","2","1","7","6","1","1","3","2","4","7","4","2","10","13","14","10","31","78","27","31","22","29","11","120","13","24","7","11","30","85"
"A00066735","ONE_DAY- Age 22-59","VA","6","5","1","6","1","1","7","1","6","1","1","6","1","2","6","6","1","6","3","2","7","6","6","1","6","7","6","7","1","3","1","2","6","2","5","2","3","6","7","5","6","6","6","4","5","3","5","6","2","6","2","4","2","3","1","2","1","1","4","1","4","3","2","5","1","3","6","2","2","4","1","5","2","4","3","1","1","5","3","1","7","5","2","3","4","3","4","6","2","5","22","18","23","17","39","119","22","30","25","20","12","109","17","23","11","16","32","99"
"A00033022","Older Adult- Age 60-64","V2","7","1","1","1","1","2","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","5","1","1","1","1","1","1","1","1","1","4","7","4","7","5","6","5","7","7","7","5","7","6","7","7","7","7","7","7","6","5","4","6","6","6","5","6","7","6","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","2","8","7","6","6","16","43","39","34","38","37","29","177","10","6","6","6","9","37"
"A00028429","Adult-Age 18-21","V2","7","1","1","6","5","1","2","1","1","1","1","4","4","1","6","5","1","1","6","1","6","6","7","6","5","2","1","1","1","1","1","3","6","2","2","3","3","6","5","5","4","5","3","5","4","2","5","6","4","7","4","2","5","4","4","6","2","2","6","1","4","1","1","4","2","2","2","2","1","2","2","3","3","2","4","1","1","2","5","1","7","4","4","4","5","2","4","4","1","4","14","10","22","23","23","92","22","30","29","22","14","117","11","14","14","20","25","84"
"A00051529","Adult- Age 22-59","V2","7","5","1","7","2","5","6","1","1","1","1","1","3","1","1","1","1","3","1","1","5","5","1","1","1","1","3","7","1","1","1","2","7","2","6","5","4","7","6","5","7","7","5","7","7","6","5","7","5","7","3","4","6","6","6","6","1","3","6","1","1","4","1","6","1","4","1","1","3","4","3","1","6","1","1","1","1","4","6","1","7","6","1","4","4","1","4","6","1","4","14","10","7","12","33","76","29","37","37","31","16","150","17","14","6","27","25","89"
"A00029231","Adult- Age 22-59","V2","6","5","1","6","1","3","5","1","1","2","5","5","6","1","1","2","1","6","6","1","3","3","3","5","5","2","3","2","2","2","2","3","5","3","4","5","4","6","7","6","4","3","4","4","6","5","7","3","5","7","5","4","3","5","4","6","3","4","6","3","2","1","3","3","1","3","2","4","1","3","4","3","4","2","1","1","1","3","4","1","3","2","1","3","4","1","4","4","2","5","20","12","9","32","22","95","32","24","33","25","22","136","15","18","6","20","17","76"
"A00066156","ONE_DAY- Age 22-59","VA","7","5","1","5","5","5","6","1","1","1","1","1","5","1","1","1","6","1","1","1","7","7","6","1","1","2","4","5","1","1","1","3","7","2","4","2","3","7","7","7","7","7","3","7","7","7","3","5","7","5","4","3","2","7","6","5","6","4","7","4","4","5","1","2","1","4","4","1","1","1","1","1","7","1","1","1","1","1","1","1","5","5","2","1","1","1","4","6","1","2","10","10","21","14","36","91","34","35","26","33","21","149","10","7","7","16","28","68"
"A00033998","Older Adult- Age 60-64","V2","5","5","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","4","1","1","1","3","4","4","1","1","2","3","7","6","6","7","5","7","7","7","7","7","7","7","7","7","6","7","7","7","4","4","6","7","7","4","3","3","6","6","5","5","2","3","1","1","3","2","1","1","1","2","2","2","1","1","2","2","1","1","4","4","2","1","1","3","3","4","2","1","7","6","9","10","20","52","40","41","36","38","21","176","7","13","10","11","23","64"
"A00060302","ENROLLED","V2","6","6","5","4","3","2","3","5","1","1","1","1","2","1","1","1","1","1","7","1","6","5","6","7","5","3","3","1","1","1","1","2","5","5","5","6","3","5","7","7","6","7","6","7","7","6","7","7","1","7","3","2","2","2","4","6","1","5","5","3","3","4","6","4","3","3","2","5","1","3","3","6","3","6","2","1","1","7","7","1","7","3","3","6","6","2","6","5","4","4","17","7","15","28","24","91","34","36","34","21","15","140","16","34","12","29","26","117"
"A00028192","Adult- Age 22-59","V2","4","7","4","4","6","6","6","7","6","3","6","1","7","2","6","1","1","4","7","7","6","6","6","6","5","6","7","6","4","4","1","1","6","6","2","1","2","2","2","5","2","6","1","5","3","2","1","5","2","1","2","2","1","2","2","2","1","1","3","4","1","7","1","1","4","5","4","6","6","1","4","1","7","1","4","1","4","1","1","1","7","4","4","1","1","1","7","7","1","1","22","24","32","38","35","151","17","30","10","10","9","76","15","11","18","21","30","95"
"A00039820","Adult- Age 22-59","V2","3","5","1","3","2","1","2","1","1","1","1","1","1","1","1","1","1","1","3","1","6","2","3","3","1","2","6","1","1","1","3","3","7","5","7","7","6","7","7","6","7","6","6","7","7","6","7","6","6","6","1","3","6","5","6","6","2","4","6","7","1","4","1","2","1","1","2","1","1","1","1","1","2","1","1","2","1","2","2","1","6","3","2","2","1","2","5","4","2","1","8","6","10","14","20","58","39","38","39","33","19","168","8","8","8","12","21","57"
"A00039895","Adult- Age 22-59","V2","7","1","1","3","1","1","5","1","1","1","1","1","1","1","1","2","1","1","1","1","6","6","6","4","1","5","4","6","6","1","1","2","6","5","5","6","4","6","7","7","7","6","7","6","7","4","4","6","7","7","2","3","2","6","7","5","1","2","4","1","3","1","1","4","1","1","3","1","2","1","1","2","1","2","2","3","2","3","1","1","7","4","4","1","1","1","6","7","4","5","8","12","15","9","34","78","29","35","30","36","13","143","16","13","11","6","30","76"
"A00065565","ONE_DAY-Age 65-85","VA","5","1","1","4","5","2","6","1","1","1","1","5","5","1","1","1","3","3","6","1","1","2","6","1","1","2","1","7","1","1","1","7","7","4","4","2","5","7","7","7","7","4","7","7","7","7","4","4","7","7","5","2","1","7","7","4","6","2","6","6","1","1","1","5","2","7","7","1","1","1","1","4","1","1","4","1","1","4","1","1","4","7","1","1","1","3","1","6","1","1","15","7","18","15","22","77","35","33","27","42","21","158","12","16","12","6","26","72"
"A00053576","Adult-Age 18-21","V2","4","7","1","4","5","4","1","1","1","1","1","1","7","1","1","2","1","1","7","2","7","5","7","5","7","1","7","4","4","5","1","3","5","7","4","7","5","5","6","6","6","7","3","5","6","5","7","7","3","5","2","4","4","4","4","6","4","4","5","4","1","7","1","1","4","1","4","1","1","1","2","1","7","1","1","2","1","1","6","2","7","4","2","7","7","1","7","4","2","4","9","17","17","34","28","105","33","36","32","23","20","144","11","6","11","36","27","91"
"A00039431","Adult- Age 22-59","V2","7","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","4","3","1","1","1","1","1","7","1","1","1","3","7","7","7","7","3","7","7","7","7","7","7","7","7","7","7","7","6","7","5","3","5","7","5","7","6","3","7","6","1","4","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","7","3","1","1","1","1","1","4","1","1","6","6","6","6","25","49","41","42","40","35","21","179","6","9","6","9","17","47"
"A00034827","Adult- Age 22-59","V2","7","7","1","1","1","4","6","6","1","2","6","6","7","1","1","1","6","6","1","6","7","7","7","1","6","6","7","6","6","6","1","2","7","5","7","2","3","4","7","6","2","6","2","6","7","7","2","3","6","2","2","2","2","6","3","3","2","2","2","2","7","7","2","2","1","4","4","5","1","2","4","4","6","2","1","1","3","5","1","3","6","4","6","1","5","3","7","5","4","4","21","20","27","28","40","136","26","31","23","21","12","113","16","20","17","24","33","110"
"A00028845","Older Adult- Age 65-85","V2","7","2","5","5","5","5","4","1","1","1","1","7","3","2","1","1","2","3","1","1","2","6","1","1","1","6","5","6","3","4","2","2","4","3","1","3","4","7","6","6","7","3","6","6","6","7","4","7","7","7","1","2","4","6","5","3","3","2","6","3","4","1","4","4","4","4","1","1","1","1","1","4","4","3","1","1","1","4","4","1","7","4","1","1","4","1","1","4","1","1","23","15","16","9","30","93","31","30","25","33","14","133","9","20","9","15","21","74"
"A00040116","Adult- Age 22-59","V2","7","7","1","6","3","2","6","1","1","1","1","2","7","1","7","1","2","2","6","7","7","5","7","5","7","6","7","7","1","1","1","2","7","7","5","2","6","7","7","5","7","7","5","7","1","5","2","7","6","4","2","6","2","7","6","6","1","1","3","1","3","5","1","1","2","3","4","1","2","5","1","1","7","1","7","2","2","1","5","2","7","5","4","2","4","2","4","4","5","2","13","7","32","33","39","124","23","42","20","33","17","135","19","6","19","24","27","95"
"A00062942","ONE_DAY","VA","5","7","1","5","5","7","1","1","1","1","1","2","7","1","7","1","1","1","5","1","7","1","6","1","1","1","1","1","1","1","1","2","7","5","2","5","7","7","7","7","7","6","5","7","7","7","7","6","6","7","1","5","5","7","7","7","5","5","7","5","1","3","1","4","1","2","1","1","1","1","1","3","2","1","1","1","1","2","1","1","7","1","1","1","1","1","1","3","1","1","11","12","21","22","16","82","38","38","35","34","24","169","7","12","6","9","14","48"
"A00061597","ONE_DAY- Age 22-59","VA","7","1","1","5","1","4","1","1","1","2","1","5","1","1","1","2","1","3","1","1","5","5","5","1","1","1","5","5","1","1","1","7","7","2","7","2","2","7","7","7","7","2","7","7","7","6","7","7","7","7","3","3","7","7","7","7","2","2","7","7","1","1","1","4","1","4","3","1","1","1","1","4","1","1","1","2","1","1","1","1","3","3","1","1","1","1","2","4","1","1","16","11","10","6","28","71","36","32","42","42","13","165","10","12","6","6","16","50"
"A00033248","Adult-Age 18-21","V2","4","1","1","1","2","1","1","1","3","1","1","1","1","1","3","1","1","1","1","1","4","4","1","1","1","1","4","4","1","6","1","7","7","5","6","5","5","5","5","5","5","5","5","5","7","6","6","7","5","5","5","5","5","7","5","5","5","3","7","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","2","4","1","4","2","1","4","4","1","1","4","1","5","3","1","6","6","13","9","6","21","55","31","34","34","34","24","157","23","24","10","19","24","100"
"A00038616","Adult- Age 22-59","V2","4","5","1","7","2","1","5","1","1","1","1","7","2","1","1","1","7","7","3","1","3","7","1","4","2","6","5","5","1","1","1","1","7","1","5","7","3","7","7","3","7","1","6","7","7","3","3","2","7","7","2","4","5","7","5","5","2","4","7","3","1","1","1","7","2","1","4","3","1","4","1","7","1","3","1","1","1","7","4","1","7","4","1","1","5","3","2","5","1","2","24","6","18","17","29","94","30","25","32","33","16","136","10","28","9","13","23","83"
"A00065829","ONE_DAY-Age 60-64","VA","5","5","1","6","1","1","5","1","1","1","1","4","5","1","1","1","1","3","5","1","7","3","1","2","1","2","1","1","1","1","2","2","7","2","6","7","3","7","7","7","7","3","4","7","7","7","5","5","4","6","2","4","6","6","6","7","4","3","7","7","3","4","1","5","1","1","4","1","1","1","3","3","5","1","1","1","1","3","5","1","5","4","1","4","3","2","2","3","1","1","16","6","7","19","22","70","42","31","37","29","18","157","6","14","7","24","21","72"
"A00028766","Adult-Age 18-21","V2","6","7","2","7","6","6","6","2","1","2","7","6","7","3","5","2","2","5","7","3","6","6","2","7","6","7","4","4","5","3","1","1","5","1","3","2","1","6","7","4","1","1","1","3","2","5","6","3","1","6","2","1","7","1","2","2","2","3","2","6","6","7","2","7","5","6","4","1","1","4","7","6","7","5","5","3","4","6","7","4","6","6","2","7","6","5","4","5","4","5","25","19","25","41","32","142","26","19","26","7","10","88","23","27","25","41","31","147"
"A00034400","Adult- Age 22-59","V2","7","1","1","1","1","1","2","1","1","1","1","1","4","1","1","1","2","1","4","1","2","3","7","4","1","1","1","4","1","1","2","2","7","7","7","7","4","7","7","7","7","7","5","7","7","7","7","7","5","7","4","5","7","5","7","7","5","5","7","5","1","1","1","1","1","1","4","1","1","1","4","1","4","1","1","1","1","1","4","1","4","4","1","4","4","1","4","4","1","1","6","6","13","15","19","59","40","42","42","31","25","180","6","6","6","21","21","60"
"A00043677","Adult- Age 22-59","V2","6","1","7","7","1","2","6","7","4","1","1","6","1","7","6","3","7","4","1","1","7","4","1","1","1","7","6","4","2","4","1","5","7","7","3","6","5","6","6","5","6","6","6","6","6","5","6","6","6","6","2","4","2","7","6","6","2","2","7","1","1","5","6","6","3","4","5","5","4","3","3","6","3","5","5","2","1","5","3","1","7","5","1","2","3","2","4","6","1","1","38","16","23","6","33","116","30","38","29","36","16","149","15","33","13","19","28","108"
"A00059361","Older Adult- Age 65-85","V2","6","7","1","3","4","2","5","1","1","1","1","1","5","1","1","1","1","1","7","1","3","3","1","1","4","1","2","1","1","2","2","4","6","4","2","2","1","5","6","7","6","6","5","5","7","7","7","7","2","7","2","3","6","4","3","7","1","3","6","2","4","5","4","5","1","4","4","4","2","1","1","2","4","2","2","1","1","2","5","1","6","4","1","1","3","1","3","5","1","3","8","8","9","25","20","70","30","33","36","24","12","135","12","19","7","19","26","83"
"A00037170","Adult- Age 22-59","V2","7","6","1","5","6","1","5","1","1","1","5","1","6","1","6","1","1","1","4","1","6","5","6","4","5","5","5","5","1","6","1","3","7","4","3","3","3","7","7","7","4","7","3","7","4","7","4","7","6","5","4","3","2","6","5","3","3","4","7","1","1","4","1","3","1","3","3","1","1","1","2","1","3","1","2","1","1","1","2","1","7","3","1","2","3","1","2","4","1","7","10","11","25","30","33","109","32","39","21","27","18","137","14","8","7","16","20","65"
"A00040827","Adult-Age 18-21","V2","7","5","1","2","1","2","2","1","1","2","1","3","5","1","2","1","6","2","7","1","3","2","7","7","6","5","7","6","4","2","1","2","7","3","7","7","3","7","7","6","7","4","3","7","5","7","4","3","1","5","4","1","5","3","2","2","3","3","6","4","6","5","4","4","1","3","3","1","3","2","2","3","5","3","1","1","1","4","4","1","4","4","3","3","4","1","7","4","2","1","10","12","22","31","27","102","37","31","28","18","15","129","12","19","8","23","28","90"
"A00056098","Adult- Age 22-59","V2","2","1","5","6","5","1","5","2","1","1","2","1","7","1","1","1","5","3","7","5","7","7","2","6","6","5","7","7","1","1","1","5","5","4","5","5","5","6","6","6","5","5","5","5","5","5","5","5","5","5","1","2","5","3","4","4","1","3","7","5","7","4","4","4","3","1","4","4","1","1","4","3","4","2","1","1","1","4","4","1","7","2","1","5","5","3","7","7","1","1","18","6","23","29","35","111","34","30","29","27","13","133","6","21","10","26","34","97"
"A00028694","Adult- Age 22-59","V2","7","5","1","5","1","1","5","1","1","1","1","2","1","1","1","1","1","4","1","1","2","5","1","1","1","7","7","6","1","6","1","2","7","4","5","6","3","7","7","5","6","7","5","7","7","5","6","4","7","7","3","3","6","7","7","4","1","2","5","2","5","4","1","5","1","3","4","2","1","3","1","1","1","1","1","1","1","4","1","1","4","4","1","1","1","1","4","4","2","6","14","11","12","10","32","79","30","36","35","34","13","148","16","14","6","9","25","70"
"A00060093","ENROLLED","V2","7","5","1","4","1","4","5","1","2","2","1","2","3","1","7","2","6","2","1","1","5","5","5","1","2","5","6","5","1","1","1","3","7","4","7","4","2","7","7","6","7","7","6","7","7","5","5","7","7","7","2","1","1","7","5","5","2","2","5","2","4","3","1","1","1","2","3","1","1","3","1","1","4","1","6","1","1","1","1","1","5","7","5","1","4","2","4","4","1","3","11","12","25","13","33","94","29","39","32","35","10","145","11","6","16","14","27","74"
"A00060575","Older Adult- Age 65-85","V2","5","1","1","5","1","4","5","1","1","1","1","5","2","1","1","2","1","2","1","1","2","2","5","1","1","1","6","6","1","2","2","5","7","2","6","4","3","6","7","6","6","2","6","6","6","6","7","5","6","6","3","2","2","7","6","6","1","1","6","2","4","1","1","4","1","2","2","2","1","2","1","2","2","2","1","2","1","2","1","1","7","2","2","1","1","1","4","4","1","2","15","11","10","7","26","69","31","28","33","36","12","140","10","13","7","7","23","60"
"A00059107","Adult- Age 22-59","V2","7","7","1","7","1","6","6","1","4","1","1","7","7","1","1","2","1","7","6","1","7","7","1","1","7","1","6","7","1","1","1","1","1","1","7","2","1","1","5","7","5","1","3","1","5","3","7","1","3","7","3","2","5","7","1","5","1","2","3","1","4","7","1","4","1","4","5","1","1","1","4","4","6","1","1","2","1","6","5","1","7","7","2","1","5","1","6","7","1","1","24","15","6","29","40","114","21","6","36","20","10","93","10","17","7","28","36","98"
"A00058998","Older Adult- Age 65-85","V2","7","1","1","7","1","1","3","1","7","1","1","1","1","1","1","2","1","4","1","5","5","3","4","1","1","1","1","6","1","1","1","7","7","1","7","7","4","7","3","5","7","7","7","7","7","6","7","6","7","6","4","5","5","7","7","7","7","5","7","5","1","1","1","4","1","1","2","1","5","1","1","1","1","1","1","2","1","3","1","2","3","3","2","1","1","1","1","4","1","7","15","13","13","6","25","72","33","35","39","42","26","175","17","11","8","6","14","56"
