"","","","I become easily frightened.","I am often late for appointments.","Sometimes minor events cause me to feel intense happiness.","I find loud noises to be very irritating.","It's often hard for me to alternate between two different tasks.","I rarely become annoyed when I have to wait in a slow moving line.","I would not enjoy the sensation of listening to loud music with a laser light show.","I often make plans that I do not follow through with.","I rarely feel sad after saying goodbye to friends or relatives.","Barely noticeable visual details rarely catch my attention.","Even when I feel energized, I can usually sit still without much trouble if it's necessary.","Looking down at the ground from an extremely high place would make me feel uneasy.","When I am listening to music, I am usually aware of subtle emotional tones.","I would not enjoy a job that involves socializing with the public.","I can keep performing a task even when I would rather not do it.","I sometimes seem to be unable to feel pleasure from events and activities that I should enjoy.","I find it very annoying when a store does not stock an item that I wish to buy.","I tend to notice emotional aspects of paintings and pictures.","I usually like to talk a lot.","I seldom become sad when I watch a sad movie.","I'm often aware of the sounds of birds in my vicinity.","When I am enclosed in small places such as an elevator, I feel uneasy.","When listening to music, I usually like to turn up the volume more than other people.","I sometimes seem to understand things intuitively.","Sometimes minor events cause me to feel intense sadness.","It is easy for me to hold back my laughter in a situation when laughter wouldn't be appropriate.","I can make myself work on a difficult task even when I don't feel like trying.","I rarely ever have days where I don't at least experience brief moments of intense happiness.","When I am trying to focus my attention, I am easily distracted.","I would probably enjoy playing a challenging and fast paced video-game that makes lots of noise and has lots of flashing, bright lights.","Whenever I have to sit and wait for something (e.g., a waiting room), I become agitated.","I'm often bothered by light that is too bright.","I rarely notice the color of people's eyes.","I seldom become sad when I hear of an unhappy event.","When interrupted or distracted, I usually can easily shift my attention back to whatever I was doing before.","I find certain scratchy sounds very irritating.","I like conversations that include several people.","I am usually a patient person.","When I am resting with my eyes closed, I sometimes see visual images.","It is very hard for me to focus my attention when I am distressed.","Sometimes my mind is full of a diverse array of loosely connected thoughts and images.","Very bright colors sometimes bother me.","I can easily resist talking out of turn, even when I'm excited and want to express an idea.","I would probably not enjoy a fast, wild carnival ride.","I sometimes feel sad for longer than an hour.","I rarely enjoy socializing with large groups of people.","If I think of something that needs to be done, I usually get right to work on it.","It doesn't take very much to make me feel frustrated or irritated.","It doesn't take much to evoke a happy response in me.","When I am happy and excited about an upcoming event, I have a hard time focusing my attention on tasks that require concentration.","Sometimes, I feel a sense of panic or terror for no apparent reason.","I often notice mild odors and fragrances.","I often have trouble resisting my cravings for food, drink, etc.","Colorful flashing lights bother me.","I usually finish doing things before they are actually due (for example, paying bills, finishing homework, etc.).","I often feel sad.","I am often aware how the color and lighting of a room affects my mood.","I usually remain calm without getting frustrated when things are not going smoothly for me.","Loud music is unpleasant to me.","When I'm excited about something, it's usually hard for me to resist jumping right into it before I've considered the possible consequences.","Loud noises sometimes scare me.","I sometimes dream of vivid, detailed settings that are unlike anything that I have experienced when awake.","When I see an attractive item in a store, it's usually very hard for me to resist buying it.","I would enjoy watching a laser show with lots of bright, colorful flashing lights.","When I hear of an unhappy event, I immediately feel sad.","When I watch a movie, I usually don't notice how the setting is used to convey the mood of the characters.","I usually like to spend my free time with people.","It does not frighten me if I think that I am alone and suddenly discover someone close by.","I am often consciously aware of how the weather seems to affect my mood.","It takes a lot to make me feel truly happy.","I am rarely aware of the texture of things that I hold.","When I am afraid of how a situation might turn out, I usually avoid dealing with it.","I especially enjoy conversations where I am able to say things without thinking first.","Without applying effort, creative ideas sometimes present themselves to me.","When I try something new, I am rarely concerned about the possibility of failing.","It is easy for me to inhibit fun behavior that would be inappropriate.","I would not enjoy the feeling that comes from yelling as loud as I can.","FEAR","FRUSTRATION","SADNESS","Discomfort","NEGATIVE AFFECT","Activation Control","Attentional Control","Inhibitory Control","EFFORTFUL CONTROL","Sociability","High Intensity Pleasure","Positive Affect","EXTRAVERSION/SURGENCY","Neutral Perceptual Sensitivity","Affective Perceptual Sensivity","Associative Sensivity","ORIENTING SENSITIVITY"
"A00037445","Adult- Age 22-59","V2","1","5","1","5","1","6","6","5","6","4","7","3","5","1","7","5","5","4","5","2","5","2","5","5","4","7","6","5","1","5","4","5","1","4","6","5","4","6","1","5","4","4","6","5","2","1","2","1","5","1","1","6","2","2","6","2","4","5","2","2","2","1","3","4","6","3","4","3","5","2","1","2","1","3","5","1","6","2.4285714285714","2.8333333333333","3.7142857142857","3.8333333333333","3.1923076923077","4.7142857142857","6","5.4285714285714","5.3157894736842","5.4","3.1428571428571","4","4.0588235294118","5.8","4.6","2.8","4.4"
"A00044131","Adult- Age 22-59","V2","2","2","2","5","2","3","3","2","3","4","5","4","7","1","6","1","6","5","4","3","5","3","4","5","2","7","6","4","2","4","2","3","3","2","6","3","6","6","1","5","2","2","6","1","2","2","5","3","5","3","1","5","2","3","6","1","5","6","3","2","2","2","1","5","5","5","6","5","3","3","1","3","4","6","4","5","6","2.7142857142857","3.3333333333333","3.7142857142857","3.1666666666667","3.2307692307692","5.7142857142857","5.2","6","5.6842105263158","5.8","4.4285714285714","4.6","4.8823529411765","5.2","4.6","3.2","4.3333333333333"
"A00038731","Adult-Age 18-21","V2","2","5","3","4","2","3","3","2","3","3","6","2","6","5","7","2","5","4","5","3","6","4","5","5","2","3","6","3","3","5","2","3","3","3","6","2","6","6","2","3","2","2","5","2","2","5","6","2","4","3","1","6","2","3","5","2","2","6","2","2","2","5","1","3","3","1","6","7","5","3","3","5","2","5","5","6","6","2.1428571428571","3","3.4285714285714","2.6666666666667","2.8076923076923","5.1428571428571","5.4","5.5714285714286","5.3684210526316","4.6","4","4.2","4.2352941176471","5.4","4.8","3.8","4.6666666666667"
"A00066735","ONE_DAY- Age 22-59","VA","2","5","2","5","2","3","3","5","7","2","7","5","1","2","6","3","2","2","5","4","6","2","1","7","2","6","6","2","2","1","2","2","7","6","6","6","5","6","1","2","2","1","5","6","5","6","1","1","7","2","1","5","4","3","2","5","6","6","6","2","3","1","2","2","1","3","5","5","1","6","2","6","2","3","2","6","2","3.1428571428571","2.3333333333333","2.8571428571429","3.8333333333333","3.0384615384615","3.2857142857143","6","5.7142857142857","4.8947368421053","4.6","2.7142857142857","3.6","3.5294117647059","4.8","3","2.8","3.5333333333333"
"A00037375","Adult- Age 22-59","V2","2","2","1","7","5","1","7","5","6","5","6","5","5","5","6","2","5","1","5","2","5","2","5","5","1","7","3","1","5","1","6","5","6","2","5","6","5","3","2","5","5","2","5","1","6","3","2","5","1","2","1","5","2","2","2","5","5","6","2","3","2","5","1","2","6","6","5","5","6","5","6","5","5","2","3","5","6","2.8571428571429","5","4.5714285714286","4","4.0769230769231","3.5714285714286","4","5.8571428571429","4.5263157894737","4.6","3.2857142857143","2.4","3.4117647058824","3.4","3.8","3.8","3.6666666666667"
"A00051063","Adult-Age 18-21","V2","2","3","2","2","2","5","3","2","3","2","6","5","5","5","7","1","2","3","6","5","5","2","3","5","2","2","7","4","2","3","2","2","6","5","6","5","5","3","5","2","2","2","3","5","1","2","5","3","4","2","1","2","3","3","5","1","2","4","5","7","5","5","1","5","3","5","5","6","2","2","5","2","5","5","2","5","6","3.2857142857143","3.1666666666667","2.5714285714286","3.1666666666667","3.0384615384615","5.8571428571429","6","4.1428571428571","5.2631578947368","5","3.7142857142857","4.6","4.3529411764706","3.6","3","4.4","3.6666666666667"
"A00061806","ONE_DAY- Age 22-59","VA","2","2","5","5","3","3","3","1","5","5","3","5","5","2","6","2","5","2","3","5","5","5","4","5","5","6","6","6","3","3","3","5","3","3","6","6","5","6","3","5","4","3","5","5","2","2","6","2","5","4","2","5","2","3","7","1","4","5","6","2","5","2","5","6","5","3","6","6","5","3","3","3","2","3","3","3","5","3.7142857142857","3.3333333333333","3.4285714285714","4.6666666666667","3.7692307692308","6.1428571428571","4.6","4.5714285714286","5.1578947368421","5.2","3.7142857142857","5.4","4.6470588235294","4.6","4.2","3.4","4.0666666666667"
"A00064328","ONE_DAY-Age 65-85","VA","3","1","4","4","3","3","3","1","3","2","6","6","6","1","6","1","6","6","6","2","5","2","4","6","2","5","6","6","1","1","2","5","3","1","6","4","4","1","5","2","2","5","5","7","1","3","7","2","7","2","1","2","5","5","7","1","4","6","5","2","5","1","2","6","6","2","6","5","5","2","3","5","3","5","2","7","6","3.7142857142857","4","4","4.6666666666667","4.0769230769231","6.1428571428571","6","5.4285714285714","5.8421052631579","5.6","3.1428571428571","6","4.7058823529412","4.6","5.4","3.8","4.6"
"A00039636","Adult- Age 22-59","V2","2","2","5","2","3","5","2","3","6","5","7","2","4","3","6","1","5","4","5","5","5","2","6","4","1","3","5","6","5","4","3","2","5","5","6","4","5","6","4","5","3","2","5","3","1","2","3","5","6","6","2","5","6","2","5","1","2","5","2","3","2","1","2","6","2","3","6","3","2","2","3","2","5","3","1","5","3","3.1428571428571","3.5","1.8571428571429","2.3333333333333","2.6923076923077","5.1428571428571","3.8","4.7142857142857","4.6315789473684","5.4","5.2857142857143","6","5.5294117647059","4.2","3.4","3","3.5333333333333"
"A00039952","Older Adult- Age 65-85","V2","2","6","2","5","2","6","3","2","3","2","3","7","3","2","3","6","6","6","6","2","7","1","3","6","5","5","3","2","6","3","1","1","1","5","5","4","6","6","7","6","2","1","3","7","5","2","3","5","6","5","2","2","7","3","2","5","6","3","5","5","5","6","5","5","3","4","5","6","5","2","2","6","6","7","6","3","4","3","3.5","4.5714285714286","3.1666666666667","3.5769230769231","3","3.6","3","3.1578947368421","5.8","3.8571428571429","3.6","4.3529411764706","5.6","4.8","5.6","5.3333333333333"
"A00055447","ENROLLED","V2","1","2","1","6","1","6","1","5","7","1","7","5","2","6","6","6","5","2","5","7","5","1","1","6","1","6","6","1","1","2","1","6","6","6","6","6","5","6","7","5","6","6","6","6","2","5","6","1","2","2","1","7","3","6","2","2","1","2","2","1","1","6","2","2","2","6","4","6","2","6","5","2","5","6","6","6","7","1.8571428571429","2.8333333333333","1.5714285714286","5.3333333333333","2.8076923076923","5","5.8","6.1428571428571","5.6315789473684","3.8","2.8571428571429","1.6","2.7647058823529","4.8","1.8","6.2","4.2666666666667"
"A00040494","Adult- Age 22-59","V2","4","1","5","1","1","4","3","1","3","1","7","7","1","7","7","1","7","1","1","7","5","1","3","5","4","7","7","1","1","1","5","1","7","5","7","7","5","5","1","6","1","1","1","7","1","2","6","1","5","5","1","1","7","1","1","1","1","1","1","3","1","1","4","1","4","5","5","4","7","4","4","4","1","1","1","1","7","3.5714285714286","4.5","2.7142857142857","2","3.1923076923077","5.5714285714286","5.2","3.7142857142857","4.7894736842105","3.6","1.8571428571429","4.4","3.1176470588235","3.6","2.6","1.8","2.6666666666667"
"A00039845","Older Adult- Age 65-85","V2","1","1","3","5","3","5","5","2","6","3","6","5","3","4","5","5","3","4","3","3","5","2","3","5","3","6","6","4","2","1","1","2","3","3","5","5","4","6","3","5","5","2","6","3","2","2","5","2","4","3","1","5","1","5","6","2","4","5","6","2","2","2","2","5","4","6","4","6","4","3","3","4","3","4","4","5","3","2.4285714285714","2.3333333333333","3.2857142857143","4.1666666666667","3.0384615384615","5.5714285714286","4.8","6","5.5263157894737","4.2","3.5714285714286","3.8","3.8235294117647","5","3.4","3.8","4.0666666666667"
"A00073600","ONE_DAY","VA","2","1","3","5","3","3","6","4","5","7","5","4","7","4","5","4","5","7","4","3","6","5","4","5","3","5","5","4","3","1","4","5","1","1","5","5","4","5","6","5","5","2","6","1","5","4","7","4","6","5","4","5","3","6","6","4","7","6","3","5","6","1","3","5","5","4","4","5","5","2","3","3","4","6","4","4","5","4","3.8333333333333","4.5714285714286","4.3333333333333","4.1923076923077","5.5714285714286","4.2","4.7142857142857","4.8947368421053","4","3.7142857142857","4.6","4.0588235294118","4.8","6","4.6","5.1333333333333"
"A00044011","Adult- Age 22-59","V2","2","4","5","5","1","5","5","2","4","2","6","5","6","2","7","2","4","6","5","2","6","2","4","6","3","6","6","4","2","5","2","4","2","2","6","5","6","3","2","4","2","2","6","2","4","2","5","5","5","2","1","7","7","3","5","2","4","5","5","5","5","4","4","3","5","2","4","4","5","2","2","5","2","6","6","6","6","3","3.6666666666667","4.2857142857143","4","3.7307692307692","5.1428571428571","5.8","4.5714285714286","5.1052631578947","5.4","3.5714285714286","5.2","4.5882352941176","6.2","5.4","4","5.2"
"A00052614","Adolescent- Age  16-17","V1","2","2","5","6","2","2","3","3","6","2","6","2","6","5","5","4","5","6","2","3","4","2","2","6","5","4","5","3","2","4","3","3","3","3","5","6","5","5","6","4","6","2","6","2","6","6","3","5","5","2","2","5","6","3","6","5","5","4","2","4","5","5","5","5","5","2","3","4","5","4","2","3","5","6","2","3","2","3.2857142857143","4.3333333333333","4.7142857142857","3.6666666666667","4","5","5.4","4","4.7368421052632","3","4.7142857142857","4.2","4.0588235294118","5.2","5.6","5.8","5.5333333333333"
"A00066131","ENROLLED","VA_ALG","2","2","5","5","2","3","4","3","4","1","6","6","6","2","5","2","4","5","3","2","1","3","6","6","6","3","5","3","6","2","5","6","4","3","3","4","5","5","4","6","5","4","6","3","3","6","5","3","6","2","4","7","7","6","5","4","5","5","4","5","7","5","1","5","5","1","5","2","4","2","1","6","6","4","5","6","5","4.4285714285714","3.8333333333333","4.7142857142857","4.8333333333333","4.4615384615385","4.7142857142857","3.8","4.5714285714286","4.4210526315789","4.2","4.4285714285714","5.2","4.5882352941176","5.2","5.4","4.8","5.1333333333333"
"A00035633","Adult- Age 22-59","V2","3","7","5","6","5","2","2","6","6","6","2","5","5","2","5","4","5","5","6","3","6","2","4","5","6","3","3","3","6","4","5","6","5","6","5","5","6","4","6","6","6","5","2","3","3","4","3","4","5","3","2","4","5","5","2","4","5","4","4","5","5","6","4","4","5","3","5","4","6","4","2","5","5","3","3","3","4","3.7142857142857","4.6666666666667","3.8571428571429","5.1666666666667","4.3076923076923","2.7142857142857","3.4","2.8571428571429","2.9473684210526","5.4","4.5714285714286","4.2","4.7058823529412","4.2","5.2","5.2","4.8666666666667"
"A00040055","Adult- Age 22-59","V2","4","3","6","5","1","6","6","5","3","3","7","6","5","1","7","5","4","5","5","2","5","3","2","7","5","5","6","5","3","5","2","5","5","5","5","2","6","6","5","5","2","1","2","6","5","2","3","2","6","5","3","6","6","2","5","3","2","5","6","5","5","5","2","6","5","5","6","6","5","2","2","5","4","6","5","6","6","3.7142857142857","2.5","4.5714285714286","3.5","3.6153846153846","4.5714285714286","4.6","4.4285714285714","4.5263157894737","6","3.2857142857143","5.2","4.6470588235294","5","4","5","4.6666666666667"
"A00058998","Older Adult- Age 65-85","V2","4","1","4","7","1","3","7","1","4","1","2","7","7","7","7","5","5","5","4","5","7","5","4","7","4","4","7","4","1","1","5","7","4","5","5","7","4","5","4","5","4","5","4","7","5","5","7","5","4","4","5","5","1","7","7","4","6","6","7","5","4","1","1","1","4","4","4","5","6","6","1","4","4","6","4","4","7","4.5714285714286","4.1666666666667","3.8571428571429","6.6666666666667","4.7692307692308","6.5714285714286","5.2","4.4285714285714","5.4210526315789","3.2","1.8571428571429","3.4","2.7058823529412","6","5.6","4.4","5.3333333333333"
"A00039041","Older Adult- Age 60-64","V2","5","2","7","5","5","2","3","5","3","2","6","5","5","1","6","5","6","7","6","3","7","5","5","6","6","3","5","6","5","1","5","6","2","2","5","6","7","5","6","5","6","5","2","6","7","1","6","5","6","5","5","6","5","6","6","2","6","5","5","3","6","5","2","5","6","2","6","5","6","5","5","2","6","5","5","2","5","4.5714285714286","4.6666666666667","5.2857142857143","5.5","5","5.4285714285714","3.4","3.8571428571429","4.3157894736842","6.6","3.8571428571429","5","5","5.6","6","5.6","5.7333333333333"
"A00039783","Older Adult- Age 65-85","V2","1","1","4","6","1","6","7","5","7","6","7","5","7","7","7","5","1","7","7","6","7","1","1","7","1","6","7","7","2","1","1","1","2","6","6","5","6","7","2","6","1","7","7","6","1","6","5","1","7","2","1","6","2","6","7","2","6","7","6","7","1","3","1","5","2","1","4","7","6","1","1","4","4","7","7","7","7","1.5714285714286","1.1666666666667","1.5714285714286","5.1666666666667","2.3076923076923","5.7142857142857","5.4","5.8571428571429","5.6842105263158","4","2.1428571428571","5.6","3.7058823529412","5.6","6.6","4","5.4"
"A00053926","Older Adult- Age 65-85","V2","1","1","6","1","4","4","7","7","6","2","6","2","6","2","6","2","2","6","6","3","7","1","2","6","1","1","6","6","1","1","1","2","2","5","6","6","6","6","5","5","2","1","6","2","1","2","6","2","6","5","1","6","5","2","6","1","5","6","6","2","2","1","1","6","4","2","6","6","4","2","1","2","2","6","2","6","3","2.1428571428571","2.1666666666667","2.4285714285714","3","2.4230769230769","5.4285714285714","4.6","5","5.0526315789474","6","3.2857142857143","6","4.8823529411765","6.4","5.4","4","5.2666666666667"
"A00037421","Adult- Age 22-59","V2","7","2","1","4","7","3","2222","6","1","7","1","7","7","6","7","7","5","5","5","2222","7","5","5","4","7","7","7","6","7","7","5","5","3","7","2","4","6","7","1","7","1","5","4","7","7","1","4","1","7","5","1","1","7","1","1","7","1","7","4","1","4","1","1","7","7","4","7","1","7","4","1","7","1","1","1","1","7","5.4285714285714","3","6","3.8333333333333","4.6","4","1.6","4","3.3684210526316","5.4","3.6666666666667","3.8","4.25","4.2","4.8","1.6","3.5333333333333"
"A00055542","Adult- Age 22-59","V2","1","2","3","6","1","6","4","5","1","2","7","1","7","2","6","1","5","7","5","1","6","1","5","7","3","5","5","3","1","2","1","6","1","1","7","5","6","7","7","1","7","1","3","1","7","5","5","3","6","1","1","7","1","7","3","5","7","5","5","5","7","7","2","3","5","1","2","1","6","3","7","5","6","7","2","7","6","3.4285714285714","2.5","5.8571428571429","5","4.2307692307692","4.4285714285714","7","5.4285714285714","5.4736842105263","4.4","4.1428571428571","4.8","4.4117647058824","5.4","6.8","7","6.4"
"A00061767","ONE_DAY-Age 65-85","VA","3","1","5","7","4","2","3","2","2","4","2","6","4","6","4","4","6","6","1","5","7","3","2","4","5","6","6","4","4","1","5","5","6","2","3","7","4","4","4","6","4","5","4","3","3","7","7","6","6","2","6","2","5","7","7","5","4","2","7","2","6","2","3","1","6","3","4","3","7","3","4","3","4","4","4","2","4","4.7142857142857","5.5","4.8571428571429","6.3333333333333","5.3076923076923","6","3.8","4","4.6842105263158","2.4","3.1428571428571","4.8","3.4117647058824","3.8","5.2","3.6","4.2"
"A00035943","Adult- Age 22-59","V2","2","1","4","6","2","2","2","1","2","2","7","6","5","1","5","3","7","4","7","3","5","2","6","4","2","6","5","4","6","5","4","5","4","2","6","6","6","2","1","6","5","2","6","7","5","1","6","5","3","4","2","1","1","2","6","2","5","2","1","3","5","2","5","5","5","2","7","2","4","6","3","2","3","5","3","2","7","4","5.6666666666667","4.4285714285714","3.6666666666667","4.4230769230769","6","4","5.1428571428571","5.1578947368421","6.8","3.8571428571429","3.6","4.6470588235294","4.2","4.8","3.4","4.1333333333333"
"A00028842","Adult- Age 22-59","V2","1","1","1","1","1","1","4","1","1","1","1","5","2","1","6","1","5","1","6","6","6","1","4","4","1","4","7","7","1","7","2","4","7","4","7","4","7","1","1","4","1","1","4","1","1","1","6","2","6","4","1","6","2","2","1","1","1","5","4","3","1","1","1","7","2","7","7","1","1","1","6","6","5","4","4","4","7","2.8571428571429","4.3333333333333","2.5714285714286","2.6666666666667","3.0769230769231","5.1428571428571","5.8","4.4285714285714","5.0526315789474","6.8","5","5.6","5.7058823529412","4.4","1.2","2.2","2.6"
"A00037582","Adult- Age 22-59","V2","1","1","1","2","1","4","4","1","2","2","1","1","4","1","4","1","5","1","3","1","6","1","5","4","1","5","6","1","4","4","4","3","1","1","3","5","4","6","1","4","1","3","6","1","1","1","5","3","5","1","1","2","1","2","5","1","4","6","4","1","1","1","1","4","1","1","4","2222","1","1","1","1","1","4","4","1","7","1.5","3.3333333333333","3.4285714285714","3.1666666666667","2.88","5.8571428571429","5","4.8571428571429","5.2631578947368","5","3.7142857142857","4.2","4.2352941176471","5.6","3.4","2.2","3.7333333333333"
"A00035798","Adult- Age 22-59","V2","1","1","1","1","1","3","7","1","7","1","7","1","6","5","6","4","4","4","4","4","6","4","1","5","1","6","6","4","4","4","1","6","5","6","6","4","5","4","1","1","1","1","4","3","1","7","6","1","4","4","1","6","2","4","6","1","6","6","6","2","2","5","1","4","2","1","3","4","6","4","2","2","2","6","4","4","2","2.4285714285714","2.8333333333333","1.7142857142857","3.6666666666667","2.6153846153846","6.2857142857143","5.6","5.7142857142857","5.8947368421053","3.2","3.2857142857143","3.4","3.2941176470588","5.6","5.8","3.6","5"
"A00037081","Adult- Age 22-59","V2","5","5","2","6","1","6","7","1","1","1","1","5","7","1","6","1","6","6","5","1","7","1","2","6","2","7","6","6","2","7","2","7","1","1","6","7","7","6","5","6","6","1","6","1","6","1","7","2","6","1","1","7","1","1","7","2","1","1","1","5","5","7","7","2","1","2","7","7","7","2","1","6","6","7","2","2","7","3.4285714285714","3.5","4.5714285714286","3.8333333333333","3.8461538461538","5.4285714285714","5.6","3.8571428571429","4.8947368421053","6.6","3.7142857142857","5.4","5.0588235294118","7","5.4","6.2","6.2"
"A00055352","Adult- Age 22-59","V2","1","4","4","4","4","2","4","2","4","2","6","2","6","2","7","1","5","4","4","3","5","1","5","5","4","7","7","6","1","1","5","5","3","4","7","4","5","6","4","4","1","1","7","6","1","4","6","2","6","2","1","1","1","2","7","1","1","6","3","1","1","4","4","7","4","1","4","7","4","1","4","4","4","6","7","6","7","1.1428571428571","3.6666666666667","3.2857142857143","3.1666666666667","2.7692307692308","5.8571428571429","5.6","6.2857142857143","5.9473684210526","4.6","3.4285714285714","6","4.5294117647059","4.2","4.4","4","4.2"
"A00060093","ENROLLED","V2","1","2","1","1","2","2","6","5","5","2","6","6","5","2","6","3","4","4","2","3","6","2","4","6","4","1","2","4","3","6","4","3","3","3","5","5","4","5","4","5","5","4","6","2","2","2","3","4","4","5","2","3","3","4","2","2","5","6","2","2","2","1","3","6","3","2","5","2","6","3","6","3","4","4","3","5","4","3.4285714285714","3.8333333333333","3.4285714285714","3.1666666666667","3.4615384615385","3.8571428571429","4.4","4.8571428571429","4.3684210526316","4.6","4.5714285714286","3.8","4.3529411764706","4.4","5.2","4","4.5333333333333"
"A00061715","ONE_DAY-Age 16-17","VA","3","1","3","5","1","5","4","1","3","3","3","4","4","4","6","1","5","3","5","4","4","1","4","4","2","6","5","4","1","4","2","6","2","4","5","5","4","6","5","4","1","1","5","1","1","1","5","3","5","5","1","3","2","2","5","1","4","3","2","2","1","1","2","5","4","3","5","4","5","2","1","5","4","5","4","3","4","2.5714285714286","3.3333333333333","3","3.5","3.0769230769231","5.4285714285714","5.2","5","5.2105263157895","5","4.5714285714286","5","4.8235294117647","5","4.2","3.2","4.1333333333333"
"A00029126","Adult- Age 22-59","V2","2","6","2","6","1","2","2","2","2","2","5","5","3","3","6","1","3","3","7","3","6","1","3","6","2","6","6","5","2","5","3","5","5","3","6","5","5","3","5","3","3","1","6","5","2","2","5","5","6","2","1","6","2","2","3","2","3","2","5","4","2","2","2","5","2","5","5","6","5","3","5","3","6","5","5","6","3","2.2857142857143","4.6666666666667","3.4285714285714","4","3.5384615384615","4.7142857142857","6","5.5714285714286","5.3684210526316","5.6","4.7142857142857","5","5.0588235294118","4.8","3.4","4.2","4.1333333333333"
"A00060632","Adult- Age 22-59","V2","4","6","1","4","1","4","5","4","4","1","7","7","7","1","5","5","4","7","4","4","4","1","1","7","1","4","5","4","5","5","1","5","4","3","5","4","5","7","5","4","7","4","6","7","4","3","3","1","1","4","1","1","1","4","1","1","5","5","4","5","5","5","4","5","3","1","4","4","7","6","4","6","4","7","5","4","4","3.5714285714286","2.3333333333333","3.1428571428571","4.1666666666667","3.3076923076923","3.1428571428571","4.6","5","4.2105263157895","5","3.2857142857143","2.2","3.4705882352941","4","6.6","6.2","5.6"
"A00050940","ENROLLED","V2","1","1","1","7","1","4","2222","1","7","7","7","7","2222","4","1","2","7","1","6","7","7","7","7","1","1","1","1","1","7","1","6","7","7","5","1","1","2","1","5","1","1","1","1","3","1","1","7","7","7","7","7","7","1","7","7","1","7","1","7","1","7","4","7","1","1","4","7","1","7","7","3","1","1","3","7","6","5","5.2857142857143","6.3333333333333","1.2857142857143","5","4.3846153846154","5.2857142857143","3.4","4.2857142857143","4.4210526315789","5.2","3","3.2","3.75","4.2","4.75","2.8","3.8571428571429"
"A00039559","Older Adult- Age 65-85","V2","4","1","5","5","5","2","4","2","2","3","7","5","5","1","6","2","6","4","3","2","6","2","5","5","4","5","5","4","3","2","5","5","2","3","6","6","6","6","5","5","3","3","6","1","2","2","6","2","6","5","3","5","3","4","6","2","2","4","5","3","5","2","2","4","3","5","6","6","5","2","3","3","4","5","6","6","6","3.2857142857143","4.1666666666667","4","4.6666666666667","4","5.8571428571429","4","5.7142857142857","5.3157894736842","5.6","4","5.4","4.8823529411765","5.4","3.8","4","4.4"
"A00033647","Older Adult- Age 65-85","V2","2","4","5","7","3","5","6","1","2","2","7","4","5","1","7","3","4","4","4","1","7","1","5","6","6","6","6","2","2","2","2","4","3","2","6","4","6","7","6","3","5","1","6","7","6","1","3","3","6","2","1","5","5","6","7","4","4","5","7","3","6","3","3","3","5","3","6","4","5","5","3","3","3","5","3","6","7","3.2857142857143","2.6666666666667","5.7142857142857","4.8333333333333","4.1538461538462","5.5714285714286","5.6","5.4285714285714","5.5263157894737","6","2.4285714285714","4.2","4","5.6","4.6","5","5.0666666666667"
"A00040784","Older Adult- Age 60-64","V2","2","1","6","3","1","6","6","2","2","3","6","7","7","5","5","2","2","6","3","2","7","2","4","5","3","5","5","2","2","6","2","6","2","2","7","5","5","7","1","2","5","2","2","7","2","2","6","1","6","2","1","6","3","1","6","1","5","6","3","2","3","6","2","5","6","2","3","5","4","2","1","2","1","3","3","6","4","3.2857142857143","1.6666666666667","4.2857142857143","3.3333333333333","3.1923076923077","5.8571428571429","6.4","5.1428571428571","5.7368421052632","4","3.2857142857143","5.2","4.0588235294118","6.2","5.6","4","5.2666666666667"
"A00037531","Adult-Age 18-21","V2","4","1","1","4","2","5","2","4","1","1","4","7","6","2","6","1","5","4","6","7","6","7","6","4","2","4","6","2","4","6","6","1","1","6","4","4","7","7","1","4","1","1","4","1","1","2","7","4","6","5","1","4","2","2","7","1","1","4","1","4","2","1","1","7","4","4","7","4","6","2","1","4","5","5","2","4","7","4.4285714285714","3.8333333333333","2.5714285714286","2.1666666666667","3.2692307692308","5.8571428571429","4.2","4.7142857142857","5","6.4","5.4285714285714","4.4","5.4117647058824","6.2","4.2","2.4","4.2666666666667"
"A00076589","Adult- Age 22-59","V2","1","1","1","1","1","4","4","1","4","1","7","1","1","1","6","1","4","4","5","7","7","1","7","4","1","7","4","1","1","2","1","1","1","1","6","5","5","6","1","1","1","1","6","2","1","1","4","2","6","1","1","7","4","1","4","1","4","6","1","1","1","1","2","2","1","1","5","7","1","1","1","2","1","4","1","1","7","1.8571428571429","2.5","2.2857142857143","1.6666666666667","2.0769230769231","5.4285714285714","6.8","5.4285714285714","5.7894736842105","5.8","3.2857142857143","4.4","4.3529411764706","7","3.4","2.2","4.2"
"A00040116","Adult- Age 22-59","V2","2","1","2","2","1","6","2","1","7","3","7","2","4","2","7","1","5","2","1","3","6","1","3","2","4","6","6","2","2","6","2","1","2","2","6","2","6","7","5","2","1","1","7","1","5","2","5","2","6","1","1","5","2","2","6","1","1","5","2","2","5","3","1","7","4","5","5","5","3","3","2","3","6","2","6","6","4","2.2857142857143","2.5","3.7142857142857","1.6666666666667","2.5769230769231","6.1428571428571","6.4","6.4285714285714","6.3157894736842","4.8","5.5714285714286","4.4","5","5.6","2.6","2.6","3.6"
