"","","","I am not a worrier","I like to have a lot of people around me.","I enjoy concentrating on a fantasy or daydream and exploring all its possibilities, letting it grow and develop.","I try to be courteous to everyone I meet.","I keep my belongings neat and clean.","At times I have felt bitter and resentful.","I laugh easily.","I think it's interesting to learn and develop new hobbies.","At times I bully or flatter people into doing what I want them to.","I'm pretty good about pacing myself so as to get things done on time.","When I'm under a great deal of stress, sometimes I feel like I'm going to pieces.","I prefer jobs that let me work alone without being bothered by other people.","I am intrigued by the patterns I find in art and nature.","Some people think I'm selfish and egotistical.","I often come into situations without being fully prepared.","I rarely feel lonely or blue.","I really enjoy talking to people.","I believe letting students hear controversial speakers can only confuse and mislead them.","If someone starts a fight, I'm ready to fight back.","I try to perform all the tasks assigned to me conscientiously.","I often feel tense and jittery.","I like to be where the action is.","Poetry has little or no effect on me.","I'm better than most people, and I know it.","I have a clear set of goals and work toward them in an orderly fashion.","Sometimes I feel completely worthless.","I shy away from crowds of people.","I would have difficulty just letting my mind wander without control or guidance.","When I've been insulted, I just try to forgive and forget.","I waste a lot of time before settling down to work.","I rarely feel fearful or anxious.","I often feel as if I'm bursting with energy.","I seldom notice the moods or feelings that different environments produce.","I tend to assume the best about people.","I work hard to accomplish my goals.","I often get angry at the way people treat me.","I am a cheerful, high-spirited person.","I experience a wide range of emotions or feelings.","Some people think of me as cold and calculating.","When I make a commitment, I can always be counted on to follow through.","Too often, when things go wrong, I get discouraged and feel like giving up.","I don't get much pleasure from chatting with people.","Sometimes when I am reading poetry or looking at a work or art, I feel a chill or wave of excitement.","I have no sympathy for beggars.","Sometimes I'm not as dependable or reliable as I should be.","I am seldom sad or depressed.","My life is fast-paced.","I have little interest in speculating on the nature of the universe or the human condition.","I generally try to be thoughtful and considerate.","I am a productive person who always gets the job done.","I often feel helpless and want someone else to solve my problems.","I am a very active person.","I have a lot of intellectual curiosity.","If I don't like people, I let them know it.","I never seem to be able to get organized.","At times I have been so ashamed I just wanted to hide.","I would rather go my own way than be a leader of others.","I often enjoy playing with theories or abstract ideas.","If necessary, I am willing to manipulate people to get what I want.","I strive for excellence in everything I do.","N Total","E TOTAL","O TOTAL","A TOTAL","C TOTAL","SEX","Age","N T-score","E T-score","O T- Score","A T-Score","C T-Score"
"A00028185","Adult- Age 22-59","V1","1","3","3","4","3","3","4","3","4","2","3","3","4","2","3","2","4","3","1","4","0","3","2","1","3","1","3","3","3","2","1","1","2","4","4","0","4","3","4","4","1","4","3","3","1","1","1","3","4","3","1","3","4","3","4","0","4","4","4","4","14","37","37","37","37","1","26","43","66","65","62","58"
"A00066572","ONE_DAY-AGE 14","VA","2","2","4","4","3","3","4","4","3","2","4","2","4","3","2","1","4","3","3","4","1","3","3","2","3","0","2","4","4","1","2","3","3","4","4","1","4","3","4","4","1","3","4","4","2","0","3","3","4","3","0","4","4","4","3","3","2","3","4","4","18","36","42","43","35","2","14","45","61","70","66","53"
"A00052319","Adult- Age 22-59","V1","1","2","0","3","3","3","3","4","2","3","0","4","2","4","2","4","4","3","1","3","0","2","4","2","3","0","3","3","0","4","1","1","4","4","4","2","3","3","4","4","0","4","3","3","1","0","2","3","4","4","0","3","3","3","3","0","4","2","4","3","11","35","34","34","37","2","47","36","60","58","51","56"
"A00063326","ONE_DAY","VA","1","2","1","4","2","1","3","3","3","3","0","1","3","3","1","1","3","4","1","3","0","2","4","3","3","2","3","3","4","3","3","1","2","3","3","1","3","3","1","3","1","3","4","3","1","1","1","4","4","3","1","3","4","3","2","1","0","4","3","4","13","25","39","35","31","1","35","41","46","69","59","48"
"A00060516","ENROLLED","V1","2","1","4","4","3","2","2","3","3","3","2","1","3","3","3","0","3","3","4","3","1","2","4","2","4","1","2","3","2","3","1","3","3","2","3","2","2","2","1","3","2","2","4","2","2","2","1","4","3","3","1","3","4","0","2","2","2","2","3","4","18","24","39","29","36","1","23","48","45","69","48","56"
"A00031607","Adult- Age 22-59","V1","2","2","0","4","4","2","4","3","4","4","2","2","4","4","4","0","4","4","4","4","0","2","2","4","3","0","3","3","1","4","1","2","3","3","4","1","3","2","4","4","1","4","2","3","4","1","2","3","4","4","0","3","2","4","4","0","2","2","4","4","10","33","30","43","47","2","42","35","56","51","66","72"
"A00055763","Adult- Age 22-59","V1","4","1","2","4","4","3","3","3","3","3","0","1","1","3","3","1","3","2","0","3","1","2","1","2","3","1","4","3","1","3","1","1","3","2","3","1","2","3","3","2","1","3","1","3","3","1","3","1","3","3","0","3","2","1","3","1","3","1","3","2","15","29","23","28","35","1","36","44","53","43","46","55"
"A00039168","Adult- Age 22-59","V1","4","2","1","3","2","3","4","4","3","3","0","3","3","4","2","1","4","4","1","3","0","3","4","2","1","3","3","3","2","3","1","2","1","3","3","1","3","4","4","3","2","4","4","3","1","0","4","4","4","3","1","3","4","3","1","0","2","4","2","2","16","37","40","34","27","1","50","46","66","70","57","41"
"A00060169","ENROLLED","V1","3","3","0","3","4","1","2","3","2","2","0","4","1","2","3","1","3","4","3","2","1","3","0","2","3","1","3","1","2","1","1","1","1","2","4","0","3","3","4","4","0","4","1","0","3","1","3","3","3","3","1","2","4","0","4","0","2","1","2","4","10","33","22","25","37","2","22","35","56","38","35","56"
"A00054019","ENROLLED","V1","1","4","3","4","3","3","4","4","4","3","2","3","4","4","2","1","4","3","1","3","1","3","3","4","2","0","4","4","4","2","1","3","4","4","4","2","4","3","4","3","0","4","4","4","4","1","4","4","4","4","0","4","3","4","2","0","2","3","2","3","12","43","42","43","35","2","32","37","73","70","66","53"
"A00044344","Older Adult- Age 60-64","V1","3","2","1","4","4","3","3","3","4","4","1","1","3","4","4","1","3","4","1","4","1","2","2","1","3","0","1","1","1","4","1","1","3","3","4","1","3","2","4","4","1","3","2","3","4","1","2","2","4","4","0","3","3","3","4","0","3","3","1","4","13","27","29","33","47","2","63","38","47","50","49","72"
"A00037118","Adult- Age 22-59","V1","2","3","3","4","2","3","3","4","3","3","3","2","3","3","3","1","3","2","2","3","1","2","3","3","2","1","2","3","3","3","1","1","3","3","3","1","2","3","3","3","1","3","3","3","3","1","2","4","4","3","1","1","4","3","3","3","1","3","3","3","19","25","38","37","34","1","27","50","46","67","62","53"
"A00056306","Adult- Age 22-59","V1","2","2","0","3","4","3","3","3","4","3","1","3","1","3","3","1","3","3","1","3","1","2","2","3","2","1","4","3","1","3","1","1","2","2","3","1","3","1","3","2","1","3","1","3","3","3","2","1","3","3","1","3","1","1","3","4","3","1","3","2","20","32","19","30","34","2","37","47","55","33","44","52"
"A00029104","Adult- Age 22-59","V1","3","1","0","3","4","1","3","4","3","4","1","2","0","3","3","1","2","2","2","4","1","2","0","3","4","1","1","0","1","4","1","3","2","2","4","1","2","3","4","4","1","1","0","2","4","1","4","0","4","4","0","4","3","2","4","0","3","0","3","4","12","28","14","32","47","2","44","37","48","25","47","72"
"A00060093","ENROLLED","V1","2","2","1","3","3","4","3","4","3","2","1","2","3","1","2","1","3","4","0","4","1","3","3","4","3","1","2","2","2","3","2","2","3","2","4","2","3","3","1","3","1","4","4","4","1","3","4","4","3","4","1","4","4","1","2","3","1","4","0","4","22","33","39","24","35","1","27","54","60","69","39","55"
"A00039685","Adult- Age 22-59","V1","2","1","1","4","4","4","3","3","3","3","1","1","DK","DK","3","1","2","2","2","3","1","2","2","3","2","1","1","3","1","3","1","1","3","2","2","3","2","3","4","3","1","2","2","3","3","2","3","2","4","3","1","2","2","1","3","3","2","1","3","2","21","22","24!WithErrors!","30!WithErrors!","34","1","50","53","41","25!WithErrors!","25!WithErrors!","53"
"A00057372","ENROLLED","V1","2","1","1","3","3","3","3","3","4","4","3","3","2","3","2","1","3","2","2","4","2","2","3","4","4","1","2","2","3","3","2","2","3","3","4","1","2","3","3","3","2","3","2","4","1","1","2","3","4","3","1","3","3","2","3","2","2","1","4","4","21","28","28","39","38","1","26","53","51","51","66","60"
"A00033021","Older Adult- Age 65-85","V1","1","2","1","3","3","3","4","3","4","3","2","3","3","4","3","1","3","3","2","3","1","2","3","2","3","1","3","2","3","3","1","2","3","3","3","2","3","3","4","4","1","3","3","2","3","1","2","3","4","3","1","3","3","3","3","1","2","2","3","3","16","32","32","37","37","2","74","42","55","54","56","56"
"A00065743","ENROLLED","VA_ALG","1","2","2","4","3","1","4","4","3","3","2","2","3","4","3","0","4","3","2","4","1","2","3","2","2","1","2","3","3","3","1","2","4","4","4","1","3","3","4","4","1","4","3","4","4","1","3","3","4","3","0","4","4","3","3","0","3","2","4","4","10","35","37","41","40","2","51","35","60","62","63","61"
"A00037120","Older Adult- Age 65-85","V1","3","2","4","4","4","0","4","4","4","4","0","2","4","4","1","1","4","4","2","4","0","3","4","2","3","0","4","4","4","0","0","3","4","2","4","0","4","3","4","4","0","4","4","1","4","0","3","4","4","4","0","4","4","3","4","0","2","3","2","4","4","39","46","36","40","2","67","27","66","75","54","61"
"A00035072","Adult- Age 22-59","V1","2","1","3","3","1","3","4","3","3","3","3","2","3","4","1","2","4","4","3","3","1","2","3","3","2","1","3","2","2","2","3","1","3","3","3","2","3","3","4","3","3","4","4","3","2","2","2","1","3","3","2","3","3","3","1","1","3","2","3","3","25","32","34","37","27","2","36","54","55","58","56","41"
"A00061298","ONE_DAY-AGE 16-17","VA","4","1","4","2","3","4","2","3","0","1","4","1","3","1","0","4","2","4","2","3","4","3","1","3","0","4","0","4","1","0","3","1","2","1","2","3","1","3","1","1","4","4","3","3","0","4","0","3","2","2","3","2","3","0","1","4","0","3","0","1","45","17","36","16","14","2","17","75","31","61","25","25"
"A00053546","Adult-Age 18-21","V1","1","3","3","3","4","0","3","3","0","2","0","2","0","0","1","1","3","2","2","3","1","4","0","2","3","1","3","4","2","0","1","1","2","3","3","3","2","2","1","3","3","2","0","1","3","3","2","2","3","3","2","3","2","1","3","1","2","1","0","3","17","30","21","18","31","1","18","47","55","40","29","48"
"A00031167","Adult- Age 22-59","V1","2","4","0","4","4","1","3","4","4","2","3","3","4","4","2","1","4","4","1","4","0","3","1","4","3","0","2","3","3","3","2","2","3","4","4","3","4","3","4","4","1","4","3","2","4","2","3","1","4","3","0","4","4","3","3","0","4","1","3","4","15","40","31","40","40","2","47","41","68","53","61","61"
"A00059344","ENROLLED","VA_ALG","2","2","3","3","3","4","3","4","3","4","2","1","4","2","1","3","3","4","1","3","1","3","1","2","1","3","3","2","1","3","1","1","3","3","1","3","2","3","3","3","1","3","2","1","3","3","2","3","3","3","1","1","3","1","2","1","2","3","1","3","25","26","35","24","30","1","44","58","48","62","39","46"
"A00037124","Older Adult- Age 60-64","V1","3","0","2","4","3","3","3","4","4","1","4","0","4","4","1","3","3","4","2","4","1","2","3","3","1","1","0","2","0","2","2","2","3","2","4","3","2","4","4","3","3","2","3","3","2","2","1","4","4","3","1","2","3","2","0","2","1","3","4","3","28","18","39","36","27","2","60","57","32","66","54","41"
"A00062934","ONE_DAY- Age 22-59","VA","1","2","1","4","4","2","3","3","3","4","1","4","3","4","3","1","3","2","3","3","0","2","4","4","4","1","1","2","3","3","1","3","4","3","4","2","4","2","4","4","1","3","0","3","4","2","4","2","4","4","0","4","4","3","4","1","4","2","4","4","13","37","29","42","45","1","34","41","66","53","71","71"
"A00039640","Older Adult- Age 65-85","V1","3","1","1","3","4","3","2","3","3","4","2","1","3","1","3","2","1","4","1","3","1","3","1","1","3","3","3","3","1","3","3","3","2","1","3","3","1","3","1","3","1","1","1","3","3","3","1","3","3","3","1","1","3","3","3","3","2","3","2","1","28","20","30","23","36","2","68","57","35","51","31","55"
"A00031217","Adult-Age 18-21","V1","2","2","3","3","3","3","3","3","2","3","1","3","2","3","2","1","3","3","1","3","1","2","2","2","3","2","3","3","2","2","1","2","3","2","4","2","2","2","2","3","2","3","1","3","2","3","3","3","3","2","1","3","3","1","3","1","2","2","2","3","20","31","30","26","33","1","18","51","56","54","43","51"
"A00031629","Child - Age 15","V1","4","2","3","3","3","1","2","3","4","3","2","2","2","3","1","2","3","2","1","2","2","3","2","2","3","1","2","2","2","2","2","2","2","3","2","1","2","2","2","2","2","3","1","3","1","4","1","3","3","3","1","4","2","2","3","1","2","2","2","4","23","28","26","30","29","1","15","55","51","48","50","45"
"A00032010","Older Adult- Age 65-85","V1","2","1","1","3","3","3","3","3","3","1","3","1","3","2","2","1","3","3","2","3","1","2","3","4","2","3","3","1","3","2","1","0","3","3","2","1","3","3","3","3","1","3","3","2","1","1","2","4","3","3","2","2","3","2","2","1","1","2","2","3","20","24","32","32","27","2","76","47","42","54","47","41"
"A00058667","ENROLLED","V1","3","1","2","3","1","3","2","3","2","1","2","2","4","3","2","1","3","4","3","3","1","3","0","2","2","0","4","4","3","1","3","2","3","3","3","3","3","4","4","3","1","3","2","3","2","1","1","4","3","3","2","2","4","3","2","0","3","3","1","4","20","29","37","33","27","2","23","47","50","62","49","41"
"A00058552","ENROLLED","V1","1","2","3","4","2","3","2","3","1","2","3","3","3","3","3","3","3","3","2","4","1","3","2","3","3","1","3","3","1","3","2","0","4","3","4","2","1","3","4","3","1","3","1","3","3","3","2","3","4","3","2","2","3","2","3","2","3","3","2","4","24","27","34","32","37","2","45","52","47","58","47","56"
"A00061263","ONE_DAY- Age 22-59","VA","1","2","2","3","3","1","2","4","4","2","0","2","3","3","3","3","3","2","2","3","1","2","3","3","3","1","2","2","2","4","3","2","2","2","4","1","2","1","3","3","1","1","2","2","3","1","2","2","3","3","1","3","3","2","3","0","3","2","3","3","14","26","28","32","37","1","49","43","48","51","54","58"
"A00043466","Adult-Age 18-21","V1","3","3","2","2","1","3","3","2","2","0","3","4","2","4","1","3","3","3","1","2","2","2","4","4","1","2","2","1","4","0","4","3","2","2","2","3","2","3","4","1","2","3","2","2","1","3","2","1","4","1","2","4","1","4","2","4","3","2","3","1","34","34","25","36","13","1","19","71","61","46","61","25"
"A00040629","Older Adult- Age 65-85","V1","4","1","2","3","4","2","3","3","4","3","1","1","3","3","2","1","2","2","2","3","1","1","0","2","2","1","3","1","2","3","1","2","3","3","3","1","3","2","3","3","2","3","3","3","2","1","2","3","3","2","1","3","3","2","3","2","1","3","3","2","18","25","28","33","32","2","76","45","44","48","49","49"
"A00061274","ONE_DAY-Age 65-85","VA","0","1","1","4","3","2","3","3","2","4","2","0","2","3","2","1","2","3","2","3","1","1","1","2","3","1","1","1","3","3","1","3","1","2","3","2","2","1","3","3","1","2","1","2","3","1","2","3","3","4","1","3","3","4","3","2","3","3","3","4","15","23","23","33","38","1","76","44","43","43","55","60"
"A00057203","ENROLLED","V1","1","2","2","4","3","3","4","4","3","1","1","3","1","4","1","1","4","3","2","3","1","4","2","4","3","1","3","3","4","1","0","3","3","3","2","1","4","3","4","3","2","3","1","4","3","1","4","3","4","3","1","4","3","3","3","2","3","3","2","3","15","41","31","41","29","2","21","41","69","53","63","44"
"A00037160","Adult-Age 18-21","V1","1","2","2","4","3","2","3","4","3","3","0","3","3","3","4","2","3","3","1","2","1","3","3","2","3","1","3","2","3","3","2","2","2","3","4","2","3","3","2","3","1","3","2","3","1","2","3","3","3","3","1","3","3","2","3","2","3","2","3","3","17","34","32","32","35","1","18","47","61","57","54","55"
"A00057445","Adult- Age 22-59","V1","3","1","2","2","3","3","2","3","2","4","1","1","2","2","4","0","2","3","1","4","0","2","2","1","3","0","2","2","1","2","1","3","1","1","4","1","3","0","2","4","0","2","2","1","4","0","3","1","3","4","0","4","4","2","4","0","2","2","2","4","9","27","24","20","44","2","56","33","47","41","26","67"
"A00040182","Older Adult- Age 65-85","V1","3","2","0","4","4","3","4","4","4","1","1","1","3","4","2","1","2","1","2","4","0","4","0","2","1","3","2","3","1","2","1","2","3","3","4","2","3","2","3","4","2","3","0","3","4","3","4","3","4","4","0","4","3","4","4","3","4","0","4","4","22","35","22","38","38","2","71","50","60","38","58","58"
"A00072203","ONE_DAY","VA","2","4","3","4","4","0","4","4","4","4","2","3","3","4","3","1","4","4","3","3","1","2","3","4","3","1","3","3","3","4","0","3","2","4","4","2","4","3","4","4","2","4","3","2","3","1","3","2","4","3","1","3","2","4","4","1","1","4","2","3","14","38","36","42","42","2","23","40","65","61","65","64"
"A00040536","Older Adult- Age 65-85","V1","3","1","0","4","4","1","3","4","4","2","1","1","4","4","1","0","3","3","3","4","0","1","3","1","3","1","2","1","4","1","1","3","3","2","3","1","2","2","4","4","0","3","1","4","1","4","1","3","4","4","0","4","4","4","3","0","1","1","4","4","12","25","29","42","34","2","74","37","44","50","65","52"
"A00059865","Child Age 14","V1","3","3","2","4","2","3","3","4","4","4","4","0","4","4","3","3","3","4","2","3","2","2","3","3","4","3","1","3","3","3","3","1","3","1","3","1","2","3","4","3","2","3","3","4","2","3","1","4","3","3","1","2","4","3","3","3","1","3","4","4","31","22","40","39","37","2","14","61","39","67","59","56"
"A00063000","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00059935","Child - Age 15","V1","4","3","4","3","4","3","2","2","2","2","1","3","3","4","3","3","2","3","4","3","3","3","2","1","2","2","2","4","1","1","4","1","2","0","4","3","1","4","3","3","4","3","0","2","1","3","2","1","3","4","0","2","4","3","4","3","1","1","1","4","33","25","30","27","35","1","15","70","46","54","45","55"
"A00035072","ENROLLED","V1REP","2","2","3","4","2","3","4","4","3","3","2","2","3","4","3","2","4","4","4","3","1","2","3","3","2","1","3","3","1","3","2","1","3","3","3","2","3","3","4","3","3","4","3","2","2","1","2","2","4","3","1","2","3","2","2","1","2","3","4","3","21","31","37","38","32","2","38","48","53","62","58","49"
"A00051678","Older Adult- Age 65-85","V1","3","0","1","4","4","3","3","4","3","3","3","0","3","3","3","4","1","4","3","4","3","1","0","1","1","3","1","1","3","2","3","1","1","3","3","1","1","3","1","4","3","1","2","2","3","4","0","1","3","3","1","2","3","3","1","1","1","1","3","3","32","12","24","32","34","2","66","62","25","41","47","52"
"A00052560","ENROLLED","V1","1","1","4","4","3","1","4","4","4","3","3","0","4","4","3","1","3","4","2","4","0","2","4","4","1","1","2","4","3","4","1","3","3","3","2","1","3","3","3","4","1","3","3","3","3","2","2","4","4","3","0","2","4","3","3","0","2","4","3","3","12","27","45","40","36","1","38","40","50","75","68","56"
"A00057005","ENROLLED","V1","2","1","4","4","3","0","4","4","4","3","1","2","4","4","1","1","4","4","1","4","0","4","4","3","1","0","1","4","4","1","1","3","2","4","4","1","4","4","4","4","0","4","4","4","1","0","3","4","4","4","0","4","4","4","2","0","3","4","4","4","6","37","46","44","32","1","21","32","66","75","75","50"
"A00057035","ENROLLED","V1","1","3","2","3","2","2","2","4","4","2","1","2","3","2","2","1","3","4","1","3","1","2","2","3","2","1","3","3","3","2","1","2","2","3","2","1","2","1","2","3","2","2","3","3","2","1","1","4","3","2","1","2","3","3","2","1","2","3","3","2","14","26","34","33","26","1","23","43","48","61","55","40"
"A00039331","Adult- Age 22-59","V1","2","3","3","3","3","3","3","4","4","0","1","3","0","4","3","4","4","3","4","0","0","1","3","3","0","0","3","4","3","4","1","3","3","3","3","1","3","2","4","0","1","1","3","3","3","3","3","3","0","3","1","3","3","2","3","1","3","1","4","3","18","33","32","37","25","2","59","45","56","54","56","38"
"A00029215","Adult- Age 22-59","V1","4","1","0","4","3","0","2","4","4","3","0","4","4","4","4","0","4","4","2","4","0","2","4","4","2","0","4","4","1","4","0","3","4","0","0","0","4","3","4","4","0","4","3","4","2","0","3","4","4","4","0","4","4","1","4","2","4","2","4","3","6","39","40","36","37","2","54","29","66","67","54","56"
"A00032876","Older Adult- Age 60-64","V1","2","1","1","4","0","0","3","4","2","0","3","1","4","2","1","1","2","3","1","4","2","3","3","3","0","4","1","3","3","0","3","4","1","4","1","1","3","2","1","3","3","3","3","3","3","1","2","4","3","3","3","0","2","3","0","3","2","3","2","3","26","25","33","31","18","2","60","55","44","56","45","27"
"A00051658","Adult-Age 18-21","V1","2","3","2","2","1","2","3","3","2","2","1","2","2","3","2","2","4","4","1","1","1","3","1","2","2","0","4","2","2","1","2","3","3","3","3","3","4","3","4","3","2","4","0","3","3","4","3","4","4","3","1","3","3","1","3","2","1","1","2","3","22","37","28","29","27","2","18","50","63","48","42","41"
"A00025566","Older Adult- Age 65-85","V1","1","1","1","4","3","3","4","4","4","4","1","2","2","3","3","1","4","4","3","4","1","2","0","3","4","1","3","2","3","4","0","2","1","3","4","2","4","1","3","4","0","3","1","3","4","3","2","2","4","3","0","3","3","2","4","1","2","3","4","2","14","32","24","39","43","1","72","43","58","45","66","68"
"A00039635","Adult- Age 22-59","V1","1","3","1","2","1","2","2","4","3","3","1","2","3","2","2","1","3","3","3","4","2","2","2","3","1","0","3","3","2","3","1","3","4","3","3","2","2","2","3","3","1","2","1","3","2","1","2","3","3","3","2","3","4","2","3","1","3","3","2","3","15","30","33","31","31","2","53","41","52","56","45","47"
"A00044405","Adult- Age 22-59","V1","4","3","3","4","3","3","3","3","4","3","1","3","4","4","4","3","4","3","3","4","1","2","3","4","3","0","1","3","4","3","1","1","3","4","4","1","3","1","4","4","1","4","3","3","4","1","3","3","4","4","0","3","3","3","3","1","1","2","4","3","17","31","34","45","42","2","49","43","53","58","70","64"
"A00059325","Child-Age 12","V1","0","3","1","2","1","1","3","2","4","2","0","4","3","3","1","0","3","1","1","2","2","3","0","3","3","3","4","4","3","0","1","1","3","2","3","2","3","0","2","3","0","2","3","1","1","4","2","3","4","3","3","2","3","3","1","2","4","3","1","2","18","34","26","29","22","1","12","48","61","48","48","33"
"A00043721","ENROLLED","V1","0","3","0","4","3","0","3","3","4","3","0","4","3","4","3","4","3","4","3","4","0","1","2","4","2","0","4","4","3","4","0","0","0","4","3","0","4","2","4","4","0","4","2","4","4","0","2","2","4","4","0","2","2","3","4","0","3","2","4","3","4","33","26","45","41","2","36","27","56","45","70","63"
"A00062937","ONE_DAY-Age 60-64","VA","1","1","1","0","3","3","2","3","4","3","2","2","3","4","2","2","3","3","2","3","1","1","3","3","3","0","2","3","3","2","1","2","3","3","3","1","3","2","3","3","1","3","2","3","2","1","2","3","3","3","1","2","3","3","2","1","1","2","3","3","15","24","31","34","32","1","63","44","45","56","57","50"
"A00035879","Adult- Age 22-59","V1","3","1","1","4","3","2","3","3","3","3","1","2","2","3","3","3","3","2","3","3","3","1","3","3","3","1","1","1","3","3","1","1","3","3","3","1","2","1","3","3","0","3","1","3","3","0","1","1","4","3","1","3","3","1","3","1","2","1","3","3","17","23","22","36","36","1","22","47","43","42","61","56"
"A00056919","Adult- Age 22-59","V1","3","0","3","4","3","3","1","4","3","3","3","1","4","1","3","3","2","3","3","4","2","1","1","4","3","2","1","2","3","3","3","1","3","2","3","2","1","3","1","4","3","3","3","3","4","3","1","4","4","2","1","3","4","3","3","1","1","4","3","2","29","16","38","34","37","1","25","64","32","67","57","58"
"A00054534","Adult-Age 18-21","V1","1","2","1","4","1","1","3","4","4","0","3","4","4","4","4","1","4","3","4","4","0","3","3","2","3","0","3","4","4","1","1","2","4","4","4","1","3","2","4","3","0","4","4","3","1","0","2","4","4","4","0","1","4","2","1","0","3","4","4","4","8","34","41","43","30","2","21","32","58","69","66","46"
"A00059990","ONE_DAY- Age 18-21","VA","1","4","3","4","0","1","2","3","3","2","1","4","3","2","1","1","4","4","0","3","3","4","2","3","","0","3","3","2","0","2","3","1","1","4","2","4","3","3","4","1","4","1","3","4","1","4","2","3","4","1","4","4","0","0","0","4","3","1","4","14","44","32","25","26!WithErrors!","1","18","43","75","57","41","25!WithErrors!"
"A00039463","Adult- Age 22-59","V1","2","3","2","4","2","2","4","2","4","2","3","3","1","4","1","2","3","3","2","3","2","3","0","4","1","1","3","3","3","3","3","1","3","3","2","2","3","2","4","3","2","4","1","1","1","3","1","2","4","2","1","2","1","3","1","3","1","1","3","2","26","31","21","39","23","2","25","55","53","37","59","35"
"A00027544","Adult- Age 22-59","V1","4","2","4","4","3","3","4","4","4","3","0","0","3","2","4","1","4","3","0","4","2","4","4","2","4","0","1","3","4","4","1","2","0","4","4","2","4","4","3","4","0","2","3","2","1","0","4","4","4","4","0","4","4","1","2","1","0","4","3","4","14","31","40","33","41","1","22","43","56","70","55","65"
"A00031832","Child-Age 12","V1","4","1","1","3","2","1","4","3","2","2","~<userSkipped>~","4","2","4","4","4","3","3","0","2","0","4","0","2","3","1","4","3","2","4","4","3","3","2","3","0","3","0","4","2","2","2","0","1","2","4","0","3","3","2","2","2","0","2","2","1","2","1","4","0","23!WithErrors!","32","19","29","28","1","12","25!WithErrors!","58","37","48","43"
"A00044130","Adult- Age 22-59","V1","3","2","3","4","3","3","2","3","3","3","1","1","4","3","1","3","3","3","2","3","1","2","3","4","3","0","2","4","1","1","2","1","3","2","3","2","3","4","3","3","1","2","3","2","1","3","3","3","3","3","0","2","3","2","3","2","3","2","1","3","21","26","38","30","30","2","22","48","45","64","44","46"
"A00035535","Adult- Age 22-59","V1","3","1","1","3","3","3","2","2","3","2","3","2","2","4","2","1","3","1","3","3","2","1","1","3","2","1","3","2","0","3","1","1","2","3","3","2","3","1","4","3","1","3","1","1","3","1","3","2","3","3","1","2","1","2","2","1","3","1","2","3","20","27","17","31","32","2","43","47","47","30","45","49"
"A00040891","Adult- Age 22-59","V1","2","1","1","4","4","2","3","4","4","3","1","3","4","4","3","0","4","4","4","4","0","1","3","4","3","0","4","3","1","4","1","2","3","1","3","0","4","0","4","3","0","3","3","2","3","3","2","3","4","4","0","3","3","2","4","1","0","2","4","3","10","30","33","38","41","2","57","35","52","56","58","63"
"A00057786","ENROLLED","V1","2","1","3","2","1","3","2","4","3","4","1","1","4","3","3","3","4","4","2","4","1","3","3","3","4","1","1","3","1","3","3","2","3","2","4","2","1","3","2","4","1","3","3","4","3","3","4","4","3","4","0","4","4","3","1","1","3","3","4","4","21","29","41","32","39","2","22","48","50","69","47","60"
"A00054532","Adult- Age 22-59","V1","3","2","1","4","3","1","4","4","4","3","2","1","3","3","2","1","4","3","3","3","1","1","4","3","3","2","2","2","3","0","2","2","3","4","4","2","3","3","4","3","1","3","1","3","1","1","2","2","3","3","0","2","3","3","1","3","2","1","4","4","19","28","30","41","30","2","22","46","48","51","63","46"
"A00058317","Older Adult- Age 65-85","V1","0","4","2","4","2","0","4","4","4","2","0","0","1","4","4","0","4","4","2","3","0","4","0","4","3","0","4","4","3","4","4","1","4","3","3","0","4","4","4","4","0","4","0","3","2","4","3","4","4","4","0","1","4","2","3","0","4","3","4","3","8","37","34","41","37","1","72","34","66","61","69","58"
"A00065617","ONE_DAY","VA","2","2","3","3","2","2","2","3","3","3","2","1","4","3","2","1","2","3","0","2","2","3","4","1","4","1","4","4","2","2","2","2","0","2","4","2","2","4","2","3","0","3","4","2","4","3","3","3","3","3","0","4","4","1","3","2","2","4","2","4","19","30","40","24","36","1","23","50","55","70","39","56"
"A00039923","Older Adult- Age 65-85","V1","3","2","1","4","4","2","4","4","3","4","3","2","3","3","4","1","3","4","2","4","2","2","3","2","3","1","2","2","3","4","2","3","3","3","4","1","4","1","4","3","0","3","3","2","4","2","3","4","4","3","0","4","4","1","4","3","3","3","4","3","20","35","35","35","44","2","73","47","60","59","52","67"
"A00033247","Adult- Age 22-59","V1","1","3","2","3","3","3","3","4","1","3","1","1","2","1","3","4","3","3","1","3","2","3","1","1","2","1","3","3","1","1","1","3","1","3","4","3","3","3","2","3","1","3","1","1","1","2","3","2","3","3","1","3","3","3","3","1","4","2","1","4","21","35","27","21","33","1","22","53","63","50","34","51"
"A00059662","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
