"","","","I tend to be quite wrapped up and interested in whatever I am doing.","A really original idea can sometimes develop from a really fantastic dream.","In my fantasies, a friend discoveres I have lied.","I do not really 'see' the objects in a daydream.","I am the kind of person whose thoughts often wander.","In my dreams, I see myself as an expert, whose opinion is sought by all.","Sometimes an answer to a dificult problem will come to me during a daydream.","My mind seldom wanders from my work.","I imagine myself failing those I love.","I picture myself as I will be several years from now.","I find that I easily lose interest in things that I have to do.","My daydreams often contain depressing events which upset me.","I am not easily distracted.","In my dreams, I show my anger toward my enemies.","My fantasies usually provide me with pleasant thoughts.","My ability to concentrate is not impaired by someone talking in another part of my house or apartament.","The sounds I hear in my daydreams are clear and distinct.","I imagine myself not being able to finish a job I am required to do.","Daydreaming never solves any problems.","No matter how hard I try to concentrate, thoughts unrelated to my work always creep in.","In my daydreams I become angry and even antagonistic towards others.","My daydreams are often stimulating and rewarding.","I can work at something for a long time without feeling the least bit bored or restless.","In my daydreams, I am always afraid of being caught doing something wrong.","Faced with a tedious job, I notice all the other things that I could be doing.","I seldom think about what I will be doing in the future.","In my fantasies, I receive an award before a large audience.","My daydreams offer me useful clues to tricky situations I face.","I tend to be easily bored.","Unpleasant daydrems don't frighten or bother me.","The 'pictures' in my mind seem as clear as photographs.","In my daydreams, I fear meeting new responsibilities in life.","I find it hard to read when someone is on the telephone in a neighboring room.","I find myself imagining ways of getting even with those I dislike.","I am seldom bored.","My daydreams often leave me with a warm, happy feeling.","I picture myself accepted into an organization for successful individuals only.","Daydreams do not have any practical significance for me.","I find it difficult to concentrate when the TV or radio is on.","I daydream about what I would like to see happen in the future.","In my daydreams I feel guilty for having escaped punishment.","My thoughts seldom drift from the subject before me.","I find my daydreams are worthwhile and interesting to me.","I never panic as the result of a daydream.","I have difficulty maintaining concentration for long periods of time.","PCD Score","GFD Score","PAC Score","Total Score"
"A00038998","ENROLLED","V3","4","1","2","4","4","1","1","3","4","3","3","2","2","1","3","4","2","2","5","4","1","1","2","2","4","3","1","1","3","4","1","2","2","1","3","1","1","4","2","2","2","3","2","5","2","28","25","45","98"
"A00064580","ONE_DAY","V3","4","3","1","2","5","4","5","2","1","5","3","4","4","4","5","4","1","1","1","3","4","4","2","3","2","2","3","2","5","2","3","1","2","5","2","4","5","2","4","4","2","2","1","4","5","58","44","51","153"
"A00052181","ENROLLED","V3","4","1","1","1","3","1","1","5","2","3","1","1","4","1","3","2","1","4","4","2","1","3","4","4","2","2","1","1","1","3","3","3","4","1","5","3","1","3","4","4","3","2","3","3","1","44","30","34","108"
"A00061276","ONE_DAY","V3","4","3","2","3","3","3","4","2","3","4","3","2","2","4","2","2","2","2","4","2","3","3","2","3","4","1","2","3","4","3","3","4","4","4","2","3","4","3","4","4","2","2","3","3","4","49","44","54","147"
"A00062288","ONE_DAY","V3","4","1","1","1","1","1","4","4","2","4","2","1","2","3","3","3","4","3","2","3","3","3","3","1","1","4","1","1","3","1","1","1","1","1","3","1","1","3","3","3","1","1","4","5","3","41","26","39","106"
"A00053850","ENROLLED","V3","4","2","2","5","4","1","1","2","1","3","3","1","2","1","4","3","1","1","5","3","1","3","2","1","3","2","1","1","3","4","1","1","4","2","3","2","1","5","4","3","1","2","2","4","4","34","19","52","105"
"A00060480","ENROLLED","V3","4","1","2","3","4","4","1","1","2","4","4","3","2","4","4","4","3","2","3","4","4","3","2","1","4","2","3","3","4","4","4","2","2","5","2","4","4","1","4","5","1","2","3","3","4","50","42","55","147"
"A00053851","ENROLLED","V3","4","2","1","2","3","1","2","3","1","4","2","1","3","1","5","3","3","2","3","3","1","4","2","1","2","3","1","3","1","4","3","2","3","1","4","4","2","3","4","5","1","3","5","3","3","53","21","41","115"
"A00050940","ENROLLED","V3","5","1","1","1","5","1","4","2","5","1","5","4","5","1","3","3","1","2","5","1","2","1","1","1","5","5","1","1","5","2","5","1","1","2","1","1","2","1","1","5","5","5","1","2","5","40","36","48","124"
"A00066282","ONE_DAY","V3","4","4","2","5","5","2","2","2","5","4","5","4","1","4","4","2","4","5","2","5","5","5","5","3","4","1","2","3","4","4","4","3","4","4","2","4","5","2","2","5","1","1","5","5","4","56","48","58","162"
"A00059845","ENROLLED","V3","5","4","1","1","4","3","4","1","3","3","1","1","1","5","4","3","2","4","2","1","3","4","4","1","5","1","1","4","3","3","1","3","3","4","4","4","1","1","2","4","1","3","5","5","3","60","35","43","138"
"A00056452","ENROLLED","V3","4","3","1","3","2","3","3","5","1","4","1","5","3","1","3","5","3","1","3","2","1","3","4","3","2","2","3","3","3","3","3","1","1","1","4","3","3","4","1","3","1","3","3","5","1","46","29","27","102"
"A00035072","ENROLLED","V3","4","4","1","3","3","1","3","3","1","4","2","1","3","1","5","4","3","3","3","2","1","4","4","1","4","2","1","3","2","3","3","4","4","1","4","4","2","3","3","5","1","3","4","5","2","55","23","39","117"
"A00060006","ENROLLED","V3","4","4","2","3","3","1","4","2","2","1","3","2","1","3","4","2","3","1","1","4","1","4","2","1","4","4","1","3","4","4","2","2","3","3","2","4","2","2","4","4","1","2","4","5","4","51","25","56","132"
"A00039391","ENROLLED","V3","4","3","1","2","4","3","3","4","2","2","2","1","3","1","5","5","5","2","3","4","2","4","4","1","4","2","2","3","4","4","5","1","1","2","2","3","3","4","1","3","1","3","3","4","1","48","26","38","112"
"A00043722","ENROLLED","V3","5","5","3","1","3","3","5","3","2","4","3","1","3","3","5","5","4","2","2","4","1","4","3","3","4","1","5","4","3","4","5","3","1","3","3","5","5","1","2","5","3","2","5","5","2","68","40","40","148"
"A00037511","ENROLLED","V3","5","4","1","1","1","5","4","4","5","5","1","1","2","2","2","2","2","2","1","1","2","2","3","5","2","1","2","4","5","4","5","1","1","1","1","1","1","2","3","4","1","1","1","1","1","55","36","39","130"
"A00056097","ENROLLED","V3","4","4","4","3","4","3","2","2","3","4","2","4","3","2","4","3","3","4","3","4","2","4","3","4","4","2","2","4","3","4","2","4","4","4","3","3","2","2","4","5","3","2","4","5","4","53","44","51","148"
"A00066735","ONE_DAY","V3","3","1","2","5","1","4","1","2","1","4","5","1","5","1","3","4","1","1","4","1","1","2","5","1","1","2","1","1","3","4","1","4","4","1","4","2","4","5","4","4","1","5","1","5","2","33","26","35","94"
"A00065790","ONE_DAY","V3","4","4","2","3","3","3","3","5","3","2","2","2","4","3","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","2","4","3","3","3","3","3","48","43","38","129"
"A00067062","ONE_DAY","V3","4","3","1","2","2","1","1","2","4","3","2","3","4","3","5","5","5","2","2","2","3","3","4","3","2","2","1","3","2","2","4","4","2","2","4","4","2","2","2","4","3","2","4","5","2","51","37","33","121"
"A00061709","ONE_DAY","V3","5","5","1","1","5","3","4","4","3","5","4","4","2","5","5","2","4","1","2","3","4","5","1","1","5","5","4","3","5","2","5","1","1","5","1","4","1","3","3","5","1","4","4","1","4","60","43","53","156"
"A00065617","ONE_DAY","V3","4","5","1","1","4","3","5","3","1","5","1","1","2","3","4","3","5","1","1","3","1","4","5","2","3","4","3","4","4","5","5","5","4","3","4","4","4","1","1","5","1","3","5","3","2","64","33","40","137"
"A00060662","ENROLLED","V3","4","3","2","2","2","3","4","4","1","4","1","1","4","4","4","3","3","2","3","4","4","3","4","4","2","2","3","3","2","4","3","4","4","2","4","4","4","3","4","4","3","4","3","5","2","52","40","36","128"
"A00053475","ENROLLED","V3","3","5","1","3","4","4","4","1","1","4","4","3","2","2","4","2","1","4","3","4","1","3","2","1","4","2","1","3","4","5","3","4","3","3","5","3","1","4","5","5","1","1","3","5","4","54","29","58","141"
"A00065935","ONE_DAY","V3","3","5","1","1","5","1","4","1","1","1","2","1","1","1","5","2","4","1","2","5","1","5","2","1","5","3","1","4","4","3","4","2","2","1","2","5","1","1","4","2","1","1","5","4","5","59","19","62","140"
"A00073600","ONE_DAY","V3","5","5","1","2","4","3","4","2","2","4","1","5","4","4","4","4","5","2","2","3","3","4","5","2","3","1","2","3","2","1","5","2","1","1","4","5","3","1","4","5","1","3","5","4","2","63","38","35","136"
"A00060582","ENROLLED","V3","4","3","2","4","3","1","2","3","1","5","2","1","3","2","4","3","2","2","3","1","1","4","4","2","4","1","1","2","3","3","2","2","1","1","3","4","2","2","2","5","3","3","4","5","2","53","25","37","115"
"A00055763","ENROLLED","V3","3","3","2","1","2","4","1","2","2","3","2","4","2","5","2","4","3","1","5","4","3","4","3","1","2","3","1","1","2","5","4","1","4","3","4","2","3","4","4","4","1","2","4","5","2","42","33","44","119"
"A00055542","ENROLLED","V3","5","5","2","2","5","2","5","2","1","4","3","1","5","3","5","5","5","3","1","1","1","5","5","1","4","1","5","4","2","5","5","2","1","1","5","5","4","1","2","5","1","3","5","5","1","68","29","31","128"
"A00056556","ENROLLED","V3","3","5","1","1","4","4","4","3","1","4","2","1","1","4","4","3","2","1","1","4","1","4","4","1","5","1","2","3","5","4","4","1","4","4","1","3","2","4","4","4","1","3","4","4","4","60","28","56","144"
"A00073677","ONE_DAY","V3","1","4","1","1","1","1","4","4","1","1","1","1","3","1","1","5","3","3","2","4","1","3","5","1","4","1","1","1","1","3","3","1","1","1","5","3","3","5","1","3","1","5","3","5","4","44","21","31","96"
"A00065379","ONE_DAY","V3","4","4","3","5","3","4","4","4","3","4","2","3","3","5","3","3","3","3","2","3","4","3","4","3","3","3","4","4","3","3","3","3","3","5","3","3","4","3","3","3","2","3","3","3","3","48","52","41","141"
"A00055806","ENROLLED","V3","4","3","1","2","3","1","3","3","3","4","2","2","3","3","3","3","3","3","3","3","2","4","3","3","3","2","2","3","3","2","2","2","2","2","4","3","4","3","4","4","2","3","4","5","3","50","35","42","127"
"A00060279","ENROLLED","V3","5","2","1","2","3","1","2","4","3","4","2","2","4","1","4","3","1","4","4","2","1","3","5","1","3","1","3","3","2","4","2","2","3","1","4","3","4","4","3","4","1","4","3","3","1","48","30","32","110"
"A00054857","ENROLLED","V3","5","5","1","5","3","2","3","4","2","3","2","1","5","1","5","4","3","3","4","2","1","4","4","1","3","4","2","4","2","4","3","2","3","3","2","4","3","5","4","3","3","3","3","5","1","46","28","35","109"
"A00060407","ENROLLED","V3","5","5","1","1","4","3","5","2","1","4","2","1","4","1","5","5","3","1","2","1","2","4","5","1","1","2","4","5","1","5","5","1","1","2","5","5","5","1","2","4","1","5","5","5","1","68","26","24","118"
"A00060093","ENROLLED","V3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","5","5","3","1","2","2","4","4","2","3","4","2","2","2","4","2","2","2","4","2","3","3","3","2","4","3","2","3","4","3","45","41","40","126"
"A00060848","ENROLLED","V3","4","4","3","3","3","1","1","3","2","4","3","1","3","3","3","3","3","2","4","2","1","3","3","1","2","4","1","2","3","3","1","1","2","1","4","1","3","5","1","4","1","1","3","5","3","37","25","40","102"
"A00059346","ENROLLED","V3","4","1","2","3","3","1","3","3","2","2","2","1","4","1","4","5","1","1","4","2","1","3","4","1","3","2","1","2","2","3","2","2","1","1","3","3","1","4","2","4","1","3","3","5","1","43","20","32","95"
"A00058218","ENROLLED","V3","4","5","1","2","4","3","5","4","2","5","2","1","4","1","4","4","4","1","1","5","1","2","3","1","2","1","2","5","2","2","4","1","4","1","5","2","2","1","2","5","1","2","5","3","1","63","25","38","126"
"A00066822","ONE_DAY","V3","4","4","1","2","4","3","4","2","4","4","4","4","2","3","4","2","2","1","2","4","3","4","2","3","4","2","1","3","5","1","2","4","5","3","1","4","2","3","5","4","3","2","3","4","4","55","42","62","159"
"A00058999","ENROLLED","V3","1","2","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","5","1","1","1","1","1","1","3","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","37","21","41","99"
"A00043721","ENROLLED","V3","4","3","2","3","3","3","4","3","1","1","1","1","3","1","1","3","1","1","3","3","1","1","3","1","3","1","1","1","1","1","1","1","1","1","1","1","1","3","1","3","1","1","1","3","3","36","24","40","100"
"A00060430","ENROLLED","V3","4","1","1","5","4","1","1","2","1","1","3","1","4","1","5","5","1","1","3","2","1","5","4","1","2","3","1","1","3","5","1","1","4","3","3","4","1","4","5","5","1","3","5","5","3","43","17","43","103"
"A00062282","ENROLLED","V3","1","5","3","2","5","4","3","1","4","4","5","4","1","3","4","1","3","5","4","5","3","3","1","3","1","1","4","3","5","2","3","4","5","4","1","4","4","2","4","5","2","1","4","3","5","56","54","70","180"
"A00060632","ENROLLED","V3","4","4","1","3","4","3","4","2","4","3","4","3","2","1","3","2","3","3","2","4","3","3","2","1","4","3","5","4","5","3","4","3","4","3","2","3","5","3","3","3","1","2","3","5","4","50","40","58","148"
"A00058552","ENROLLED","V3","5","2","1","3","3","2","5","3","2","3","3","2","4","3","3","2","2","2","1","3","1","3","3","1","4","1","2","5","3","2","3","2","3","1","3","3","2","2","5","4","1","2","4","5","3","56","27","47","130"
"A00061204","ONE_DAY","V3","4","3","3","3","2","3","4","4","1","4","2","2","2","4","4","4","3","3","5","4","3","3","4","3","4","2","4","3","4","5","3","2","5","3","2","4","4","5","3","3","3","3","3","5","2","46","40","45","131"
"A00063103","ONE_DAY","V3","3","4","1","1","5","3","3","2","2","3","4","2","2","3","5","4","1","1","3","4","1","5","4","1","4","2","1","3","5","2","5","3","4","3","1","5","1","3","5","4","1","1","4","4","2","61","29","58","148"
"A00052340","ENROLLED","V3","5","5","1","3","5","3","4","2","3","3","2","2","3","3","5","3","4","3","3","2","1","4","3","3","4","1","3","5","5","5","5","4","3","3","1","4","4","5","4","4","1","3","4","5","4","57","36","51","144"
"A00058667","ENROLLED","V3","4","1","4","2","5","3","3","2","4","2","2","5","1","3","3","3","1","3","4","4","2","3","3","2","4","1","3","3","3","1","2","2","5","2","5","2","4","3","5","4","4","2","2","4","3","44","48","53","145"
"A00051927","ENROLLED","V3","4","2","1","2","5","3","3","2","1","4","4","1","2","2","4","2","3","4","3","3","1","5","2","1","5","2","4","2","2","3","5","4","3","1","4","4","3","2","3","5","1","2","5","5","5","57","31","54","142"
"A00040573","ENROLLED","V3","4","5","2","3","4","3","4","3","2","5","2","2","2","3","5","2","3","3","4","2","1","4","3","1","4","2","4","3","3","2","2","1","2","2","3","4","4","3","2","4","2","2","4","3","3","55","37","45","137"
"A00055738","ENROLLED","V3","5","4","1","2","4","1","1","2","1","4","2","1","1","1","2","1","2","1","4","2","2","2","2","1","1","4","1","1","2","2","2","2","2","2","1","3","5","4","2","5","1","1","4","4","1","42","26","45","113"
"A00037848","ENROLLED","V3","5","5","1","2","3","3","3","2","1","3","1","1","5","3","5","5","1","1","3","3","1","3","3","1","3","3","3","1","3","5","1","1","1","1","3","3","1","1","1","1","1","3","3","5","1","48","21","32","101"
